기간,자치구,합계,합계,합계,합계,승용차,승용차,승용차,승용차,승합차,승합차,승합차,승합차,화물차,화물차,화물차,화물차,특수차,특수차,특수차,특수차,이륜차,이륜차,이륜차
기간,자치구,소계,관용,자가용,영업용,소계,관용,자가용,영업용,소계,관용,자가용,영업용,소계,관용,자가용,영업용,소계,관용,자가용,영업용,소계,관용,자가용
2016.07,관악구,122120,274,116042,5804,103014,64,99586,3364,5608,36,5283,289,13284,164,11138,1982,214,10,35,169,24852,296,24556
2016.07,서초구,179207,595,168332,10280,155286,256,150699,4331,6092,156,5107,829,17507,168,12386,4953,322,15,140,167,14577,282,14295
2016.07,강남구,241867,355,222532,18980,213546,111,197898,15537,7300,45,6393,862,20667,181,18086,2400,354,18,155,181,17451,342,17109
2016.07,송파구,220648,342,208636,11670,188574,90,182504,5980,8325,91,6617,1617,23439,154,19423,3862,310,7,92,211,18715,239,18476
2016.07,강동구,137245,224,128482,8539,114974,54,109495,5425,5837,34,5100,703,16163,131,13842,2190,271,5,45,221,16800,156,16644
2016.07,기타,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,13
2016.08,서울시,3078045,11345,2870324,196376,2588763,4086,2465712,118965,137045,3147,117206,16692,345115,3770,285340,56005,7122,342,2066,4714,455083,4674,450409
2016.08,종로구,49611,3696,44266,1649,39684,1835,37344,505,4088,1409,2343,336,5663,370,4553,740,176,82,26,68,13505,326,13179
2016.08,중구,52277,1037,47440,3800,40914,243,38974,1697,3782,591,2776,415,7411,188,5627,1596,170,15,63,92,14999,239,14760
2016.08,용산구,75852,360,73437,2055,65257,140,64030,1087,3020,51,2912,57,7445,157,6415,873,130,12,80,38,16668,217,16451
2016.08,성동구,98352,271,88824,9257,82939,84,75904,6951,3924,34,3312,578,11304,143,9551,1610,185,10,57,118,20385,116,20269
2016.08,광진구,97217,277,91255,5685,80802,72,77640,3090,4471,44,3747,680,11680,154,9846,1680,264,7,22,235,18745,203,18542
2016.08,동대문구,97282,269,91251,5762,78651,82,75518,3051,4685,55,4375,255,13778,123,11315,2340,168,9,43,116,24251,237,24014
2016.08,중랑구,111707,190,101854,9663,89777,41,83656,6080,5700,32,5132,536,15837,101,13004,2732,393,16,62,315,24468,100,24368
2016.08,성북구,116819,232,111078,5509,99011,71,96281,2659,6151,29,5007,1115,11533,122,9758,1653,124,10,32,82,26435,168,26267
2016.08,강북구,76831,280,71605,4946,62655,81,59695,2879,4589,47,3766,776,9455,134,8106,1215,132,18,38,76,21977,74,21903
2016.08,도봉구,96832,229,88876,7727,81064,53,75579,5432,4533,41,4055,437,11048,129,9200,1719,187,6,42,139,14803,157,14646
2016.08,노원구,156107,257,146160,9690,134781,57,128319,6405,6811,47,5835,929,14218,144,11953,2121,297,9,53,235,15364,88,15276
2016.08,은평구,127605,228,120480,6897,107202,65,103109,4028,6249,37,5423,789,13930,118,11901,1911,224,8,47,169,21262,131,21131
2016.08,서대문구,84314,424,78654,5236,71343,170,68241,2932,3975,85,3498,392,8852,159,6875,1818,144,10,40,94,15049,167,14882
2016.08,마포구,117313,278,109501,7534,98857,64,94695,4098,5088,45,4327,716,13038,153,10387,2498,330,16,92,222,17637,177,17460
2016.08,양천구,150714,301,141382,9031,127389,107,122393,4889,6398,50,5284,1064,16431,136,13610,2685,496,8,95,393,17801,144,17657
2016.08,강서구,193279,283,178141,14855,162803,79,152415,10309,8606,39,7104,1463,21551,154,18519,2878,319,11,103,205,18609,161,18448
2016.08,구로구,140364,230,128850,11284,115336,60,107580,7696,7076,50,6189,837,17691,111,14979,2601,261,9,102,150,16381,57,16324
2016.08,금천구,83842,128,76332,7382,65482,25,61021,4436,4673,12,4185,476,13553,88,11080,2385,134,3,46,85,11958,200,11758
2016.08,영등포구,147720,303,137119,10298,119519,94,114696,4729,6361,41,5866,454,20726,155,16089,4482,1114,13,468,633,16898,202,16696
2016.08,동작구,103811,277,100737,2797,90217,75,88935,1207,3966,47,3801,118,9229,142,7912,1175,399,13,89,297,15269,195,15074
2016.08,관악구,122056,276,116034,5746,103048,64,99598,3386,5589,36,5265,288,13199,165,11135,1899,220,11,36,173,24934,296,24638
2016.08,서초구,178972,610,168005,10357,155133,269,150461,4403,6042,156,5060,826,17474,170,12344,4960,323,15,140,168,14576,282,14294
2016.08,강남구,241689,348,222274,19067,213475,112,197748,15615,7222,46,6322,854,20637,171,18048,2418,355,19,156,180,17543,342,17201
2016.08,송파구,220626,339,208655,11632,188730,90,182666,5974,8252,90,6561,1601,23341,152,19340,3849,303,7,88,208,18744,239,18505
2016.08,강동구,136853,222,128114,8517,114694,53,109214,5427,5794,33,5061,700,16091,131,13793,2167,274,5,46,223,16809,156,16653
2016.08,기타,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,13
2016.09,서울시,3080627,11331,2871907,197389,2592545,4092,2468560,119893,136470,3144,116627,16699,344458,3748,284638,56072,7154,347,2082,4725,455449,4665,450784
2016.09,종로구,49608,3702,44257,1649,39705,1841,37359,505,4089,1409,2339,341,5638,370,4533,735,176,82,26,68,13491,325,13166
2016.09,중구,52122,1029,47292,3801,40763,239,38883,1641,3739,589,2746,404,7453,187,5601,1665,167,14,62,91,15058,236,14822
2016.09,용산구,75781,359,73367,2055,65364,140,64137,1087,3001,51,2893,57,7285,156,6256,873,131,12,81,38,16682,217,16465
2016.09,성동구,98505,273,88846,9386,83175,84,75997,7094,3886,34,3282,570,11255,144,9509,1602,189,11,58,120,20408,116,20292
2016.09,광진구,97372,274,91342,5756,80920,72,77718,3130,4496,44,3732,720,11694,151,9870,1673,262,7,22,233,18754,203,18551
2016.09,동대문구,97387,271,91331,5785,78814,81,75663,3070,4639,58,4325,256,13762,122,11298,2342,172,10,45,117,24266,235,24031
2016.09,중랑구,111911,188,102045,9678,89998,40,83867,6091,5693,32,5125,536,15825,100,12990,2735,395,16,63,316,24460,100,24360
2016.09,성북구,116760,228,111020,5512,99010,67,96278,2665,6119,29,4976,1114,11507,122,9734,1651,124,10,32,82,26407,168,26239
2016.09,강북구,76841,280,71646,4915,62680,82,59745,2853,4558,47,3736,775,9467,132,8126,1209,136,19,39,78,22011,74,21937
2016.09,도봉구,96926,231,88975,7720,81200,56,75714,5430,4511,42,4032,437,11025,127,9186,1712,190,6,43,141,14817,157,14660
2016.09,노원구,156294,255,146342,9697,135016,57,128561,6398,6784,47,5801,936,14193,142,11925,2126,301,9,55,237,15402,88,15314
2016.09,은평구,127735,228,120599,6908,107380,66,103280,4034,6210,37,5386,787,13920,117,11888,1915,225,8,45,172,21294,130,21164
2016.09,서대문구,84405,424,78743,5238,71492,170,68387,2935,3937,85,3458,394,8833,159,6858,1816,143,10,40,93,15092,167,14925
2016.09,마포구,117286,290,109474,7522,98896,70,94734,4092,5069,48,4308,713,12991,154,10340,2497,330,18,92,220,17618,177,17441
2016.09,양천구,150761,300,141450,9011,127485,108,122496,4881,6359,49,5259,1051,16418,135,13597,2686,499,8,98,393,17798,140,17658
2016.09,강서구,193557,285,178387,14885,163270,80,152816,10374,8555,40,7091,1424,21412,153,18380,2879,320,12,100,208,18648,161,18487
2016.09,구로구,140488,225,129060,11203,115481,60,107789,7632,7042,49,6183,810,17704,107,14985,2612,261,9,103,149,16361,57,16304
2016.09,금천구,83942,124,76468,7350,65611,23,61187,4401,4671,11,4183,477,13524,87,11051,2386,136,3,47,86,11957,200,11757
2016.09,영등포구,147109,306,136604,10199,118999,96,114251,4652,6349,41,5852,456,20641,155,16027,4459,1120,14,474,632,16877,203,16674
2016.09,동작구,104016,274,100946,2796,90439,73,89158,1208,3955,47,3790,118,9224,141,7909,1174,398,13,89,296,15288,195,15093
2016.09,관악구,122101,275,116016,5810,103132,65,99621,3446,5568,35,5241,292,13179,164,11117,1898,222,11,37,174,25015,296,24719
2016.09,서초구,179240,608,168210,10422,155362,268,150638,4456,6022,156,5040,826,17530,169,12390,4971,326,15,142,169,14609,283,14326
2016.09,강남구,242670,347,222369,19954,214474,113,197919,16442,7262,46,6302,914,20583,170,17995,2418,351,18,153,180,17525,342,17183
2016.09,송파구,220929,330,208969,11630,189080,88,183041,5951,8207,84,6525,1598,23335,151,19312,3872,307,7,91,209,18778,239,18539
2016.09,강동구,136881,225,128149,8507,114799,53,109321,5425,5749,34,5022,693,16060,133,13761,2166,273,5,45,223,16820,156,16664
2016.09,기타,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,13
2016.10,서울시,3083269,11292,2874714,197263,2596337,4084,2472468,119785,135916,3136,116148,16632,343863,3726,284014,56123,7153,346,2084,4723,455138,4660,450478
2016.10,종로구,49615,3697,44269,1649,39722,1835,37386,501,4081,1410,2331,340,5637,370,4526,741,175,82,26,67,13494,325,13169
2016.10,중구,52165,1030,47348,3787,40782,244,38920,1618,3752,586,2761,405,7471,187,5605,1679,160,13,62,85,15050,236,14814
2016.10,용산구,75817,354,73410,2053,65434,140,64212,1082,2987,51,2877,59,7266,152,6241,873,130,11,80,39,16635,216,16419
2016.10,성동구,98484,269,89049,9166,83252,80,76304,6868,3880,34,3275,571,11161,144,9407,1610,191,11,63,117,20387,116,20271
2016.10,광진구,97451,271,91430,5750,81010,70,77809,3131,4478,44,3716,718,11702,150,9882,1670,261,7,23,231,18734,203,18531
2016.10,동대문구,97393,274,91343,5776,78902,83,75759,3060,4620,59,4309,252,13698,122,11230,2346,173,10,45,118,24280,233,24047
2016.10,중랑구,112012,188,102145,9679,90136,40,84007,6089,5654,32,5088,534,15829,100,12990,2739,393,16,60,317,24465,99,24366
2016.10,성북구,116857,224,111118,5515,99119,66,96390,2663,6092,29,4947,1116,11519,119,9749,1651,127,10,32,85,26391,168,26223
2016.10,강북구,76821,279,71666,4876,62697,82,59779,2836,4532,47,3726,759,9459,132,8124,1203,133,18,37,78,22011,74,21937
2016.10,도봉구,97059,232,89111,7716,81380,59,75910,5411,4491,41,4014,436,10996,126,9147,1723,192,6,40,146,14816,157,14659
2016.10,노원구,156180,255,146235,9690,134998,56,128531,6411,6739,47,5757,935,14146,142,11891,2113,297,10,56,231,15365,88,15277
2016.10,은평구,127885,227,120755,6903,107563,67,103466,4030,6163,35,5342,786,13933,117,11902,1914,226,8,45,173,21292,127,21165
2016.10,서대문구,84472,424,78803,5245,71596,169,68486,2941,3914,85,3435,394,8817,159,6840,1818,145,11,42,92,15076,167,14909
2016.10,마포구,117307,289,109495,7523,98939,70,94770,4099,5033,48,4277,708,13008,153,10356,2499,327,18,92,217,17578,177,17401
2016.10,양천구,150769,300,141476,8993,127556,109,122580,4867,6353,49,5254,1050,16360,134,13544,2682,500,8,98,394,17741,140,17601
2016.10,강서구,193745,286,178550,14909,163563,82,153070,10411,8494,39,7041,1414,21367,153,18335,2879,321,12,104,205,18626,161,18465
2016.10,구로구,141004,223,129220,11561,115982,61,107930,7991,7043,49,6190,804,17716,104,14996,2616,263,9,104,150,16366,58,16308
2016.10,금천구,83927,125,76546,7256,65587,23,61252,4312,4683,12,4192,479,13521,87,11056,2378,136,3,46,87,11948,201,11747
2016.10,영등포구,146793,307,136313,10173,118868,97,114141,4630,6343,40,5850,453,20459,156,15851,4452,1123,14,471,638,16826,203,16623
2016.10,동작구,104151,270,101081,2800,90592,73,89310,1209,3947,47,3782,118,9214,137,7900,1177,398,13,89,296,15305,195,15110
2016.10,관악구,122105,276,116027,5802,103211,66,99706,3439,5538,35,5211,292,13133,164,11072,1897,223,11,38,174,24978,296,24682
2016.10,서초구,179829,589,168787,10453,155987,255,151290,4442,5983,153,4997,833,17528,166,12359,5003,331,15,141,175,14580,283,14297
2016.10,강남구,242826,349,222796,19681,214872,115,198413,16344,7221,47,6271,903,20385,169,17959,2257,348,18,153,177,17535,342,17193
2016.10,송파구,221760,331,209626,11803,189815,89,183751,5975,8157,84,6496,1577,23482,151,19287,4044,306,7,92,207,18855,239,18616
2016.10,강동구,136842,223,128115,8504,114774,53,109296,5425,5738,33,5009,696,16056,132,13765,2159,274,5,45,224,16792,156,16636
2016.10,기타,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,12
2016.11,서울시,3084245,11300,2876250,196695,2598330,4104,2474955,119271,135220,3160,115487,16573,343527,3692,283725,56110,7168,344,2083,4741,454003,4639,449364
2016.11,종로구,49653,3740,44251,1662,39707,1852,37347,508,4111,1441,2328,342,5660,365,4550,745,175,82,26,67,13497,324,13173
2016.11,중구,52009,1004,47241,3764,40701,245,38846,1610,3703,564,2738,401,7442,181,5594,1667,163,14,63,86,15054,237,14817
2016.11,용산구,75645,353,73260,2032,65361,140,64149,1072,2960,52,2848,60,7195,150,6183,862,129,11,80,38,16560,215,16345
2016.11,성동구,98690,269,89120,9301,83509,81,76430,6998,3858,34,3247,577,11135,143,9379,1613,188,11,64,113,20381,116,20265
2016.11,광진구,97270,274,91289,5707,80919,71,77763,3085,4435,44,3668,723,11655,152,9836,1667,261,7,22,232,18650,203,18447
2016.11,동대문구,97436,275,91368,5793,78956,84,75797,3075,4581,59,4271,251,13726,122,11255,2349,173,10,45,118,24232,232,24000
2016.11,중랑구,112123,190,102267,9666,90272,39,84141,6092,5626,34,5056,536,15835,101,13011,2723,390,16,59,315,24383,100,24283
2016.11,성북구,116795,224,111050,5521,99098,66,96358,2674,6067,29,4925,1113,11506,119,9735,1652,124,10,32,82,26322,168,26154
2016.11,강북구,76894,277,71724,4893,62820,82,59882,2856,4504,46,3698,760,9438,132,8109,1197,132,17,35,80,21971,74,21897
2016.11,도봉구,97082,230,89155,7697,81496,59,76045,5392,4444,40,3970,434,10952,125,9100,1727,190,6,40,144,14761,156,14605
2016.11,노원구,156104,257,146233,9614,134956,56,128557,6343,6722,49,5741,932,14120,142,11880,2098,306,10,55,241,15317,76,15241
2016.11,은평구,127922,228,120840,6854,107615,66,103574,3975,6142,39,5318,785,13936,115,11903,1918,229,8,45,176,21231,119,21112
2016.11,서대문구,84460,424,78797,5239,71637,169,68529,2939,3877,86,3399,392,8799,157,6827,1815,147,12,42,93,15050,167,14883
2016.11,마포구,117264,288,109465,7511,98996,69,94812,4115,4994,48,4246,700,12948,153,10314,2481,326,18,93,215,17508,177,17331
2016.11,양천구,150614,299,141248,9067,127455,109,122421,4925,6294,49,5197,1048,16358,133,13531,2694,507,8,99,400,17699,140,17559
2016.11,강서구,194864,289,179570,15005,164595,84,154011,10500,8494,41,7041,1412,21457,153,18420,2884,318,11,98,209,18605,165,18440
2016.11,구로구,141105,223,129352,11530,116045,60,108063,7922,7039,51,6197,791,17756,103,14985,2668,265,9,107,149,16313,57,16256
2016.11,금천구,83996,124,76663,7209,65682,23,61388,4271,4668,12,4178,478,13508,86,11049,2373,138,3,48,87,11907,203,11704
2016.11,영등포구,145972,309,135924,9739,118232,99,113891,4242,6310,41,5825,444,20305,155,15738,4412,1125,14,470,641,16759,195,16564
2016.11,동작구,104257,268,101202,2787,90746,72,89475,1199,3908,48,3742,118,9206,135,7895,1176,397,13,90,294,15251,195,15056
2016.11,관악구,122224,264,116143,5817,103326,65,99799,3462,5516,35,5189,292,13163,153,11118,1892,219,11,37,171,24904,296,24608
2016.11,서초구,180090,583,169250,10257,156223,255,151742,4226,5964,149,4987,828,17571,165,12378,5028,332,14,143,175,14486,282,14204
2016.11,강남구,242863,353,222809,19701,214886,117,198405,16364,7230,49,6278,903,20398,170,17971,2257,349,17,155,177,17545,348,17197
2016.11,송파구,222308,331,210118,11859,190434,88,184333,6013,8116,86,6454,1576,23452,150,19241,4061,306,7,90,209,18861,238,18623
2016.11,강동구,136605,224,127911,8470,114663,53,109197,5413,5657,34,4946,677,16006,132,13723,2151,279,5,45,229,16743,156,16587
2016.11,기타,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,13
2016.12,서울시,3083007,11276,2875305,196426,2598344,4105,2475126,119113,134309,3135,114724,16450,343173,3690,283367,56116,7181,346,2088,4747,452439,4615,447824
2016.12,종로구,49471,3754,44062,1655,39559,1862,37195,502,4087,1439,2307,341,5650,367,4536,747,175,86,24,65,13446,323,13123
2016.12,중구,51604,988,46806,3810,40352,245,38461,1646,3677,550,2706,421,7409,179,5575,1655,166,14,64,88,14874,237,14637
2016.12,용산구,75640,352,73248,2040,65338,140,64133,1065,2932,51,2820,61,7238,150,6215,873,132,11,80,41,16442,214,16228
2016.12,성동구,99529,266,90126,9137,84276,78,77361,6837,3844,34,3235,575,11222,143,9465,1614,187,11,65,111,20428,120,20308
2016.12,광진구,97045,275,91068,5702,80741,71,77610,3060,4423,45,3644,734,11622,152,9795,1675,259,7,19,233,18563,203,18360
2016.12,동대문구,97333,275,91319,5739,78992,83,75836,3073,4514,59,4239,216,13658,123,11199,2336,169,10,45,114,24128,232,23896
2016.12,중랑구,112098,189,102178,9731,90329,40,84132,6157,5586,32,5016,538,15791,101,12968,2722,392,16,62,314,24324,100,24224
2016.12,성북구,116446,224,110714,5508,98837,66,96100,2671,6030,28,4885,1117,11462,120,9698,1644,117,10,31,76,26267,168,26099
2016.12,강북구,76844,271,71707,4866,62826,81,59915,2830,4466,46,3667,753,9421,127,8092,1202,131,17,33,81,21966,74,21892
2016.12,도봉구,97059,229,89131,7699,81500,58,76043,5399,4421,40,3945,436,10951,125,9104,1722,187,6,39,142,14735,155,14580
2016.12,노원구,155697,252,145897,9548,134645,53,128286,6306,6669,49,5693,927,14076,141,11864,2071,307,9,54,244,15276,68,15208
2016.12,은평구,127647,225,120562,6860,107413,67,103364,3982,6088,34,5271,783,13912,116,11880,1916,234,8,47,179,21139,110,21029
2016.12,서대문구,84358,424,78683,5251,71598,170,68480,2948,3852,83,3376,393,8762,159,6786,1817,146,12,41,93,14989,167,14822
2016.12,마포구,117071,290,109220,7561,98891,69,94657,4165,4950,50,4201,699,12906,153,10270,2483,324,18,92,214,17418,177,17241
2016.12,양천구,150208,300,140871,9037,127174,109,122159,4906,6221,51,5139,1031,16307,132,13476,2699,506,8,97,401,17632,139,17493
2016.12,강서구,196164,286,180689,15189,165908,82,155127,10699,8487,38,7047,1402,21441,155,18406,2880,328,11,109,208,18594,165,18429
2016.12,구로구,140693,225,129033,11435,115705,60,107793,7852,7014,53,6195,766,17705,103,14939,2663,269,9,106,154,16212,57,16155
2016.12,금천구,84684,120,77340,7224,66259,21,61964,4274,4721,12,4218,491,13563,84,11108,2371,141,3,50,88,11875,204,11671
2016.12,영등포구,146180,306,136124,9750,118332,98,113984,4250,6282,39,5803,440,20440,156,15866,4418,1126,13,471,642,16687,186,16501
2016.12,동작구,104176,269,101123,2784,90605,72,89342,1191,3870,48,3704,118,9301,136,7986,1179,400,13,91,296,15141,195,14946
2016.12,관악구,122039,265,116013,5761,103233,67,99750,3416,5478,35,5154,289,13106,152,11071,1883,222,11,38,173,24835,292,24543
2016.12,서초구,179949,588,169108,10253,156135,253,151705,4177,5936,155,4960,821,17545,166,12297,5082,333,14,146,173,14454,282,14172
2016.12,강남구,242348,351,222368,19629,214472,118,198068,16286,7168,45,6229,894,20356,171,17913,2272,352,17,158,177,17477,353,17124
2016.12,송파구,222514,330,210294,11890,190799,88,184685,6026,8064,85,6369,1610,23353,150,19157,4046,298,7,83,208,18824,240,18584
2016.12,강동구,136210,222,127621,8367,114425,54,108976,5395,5529,34,4901,594,15976,129,13701,2146,280,5,43,232,16700,154,16546
2016.12,기타,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,13
2017.01,서울시,3091903,11255,2883800,196848,2607254,4099,2483697,119458,133792,3127,114213,16452,343626,3684,283776,56166,7231,345,2114,4772,451613,4615,446998
2017.01,종로구,49538,3749,44127,1662,39620,1858,37262,500,4076,1439,2292,345,5663,366,4548,749,179,86,25,68,13427,323,13104
2017.01,중구,51590,989,46805,3796,40317,246,38445,1626,3658,549,2691,418,7443,180,5606,1657,172,14,63,95,14897,237,14660
2017.01,용산구,75709,345,73211,2153,65415,134,64137,1144,2919,50,2808,61,7242,150,6185,907,133,11,81,41,16373,212,16161
2017.01,성동구,100154,269,90624,9261,84853,80,77819,6954,3823,34,3210,579,11288,144,9529,1615,190,11,66,113,20444,118,20326
2017.01,광진구,97290,275,91374,5641,81065,71,77906,3088,4411,45,3638,728,11555,152,9811,1592,259,7,19,233,18498,203,18295
2017.01,동대문구,97545,273,91532,5740,79181,83,76022,3076,4503,58,4228,217,13698,122,11236,2340,163,10,46,107,24079,232,23847
2017.01,중랑구,112442,188,102520,9734,90697,41,84491,6165,5570,32,4995,543,15786,99,12974,2713,389,16,60,313,24291,100,24191
2017.01,성북구,116842,224,111104,5514,99220,66,96484,2670,6000,28,4856,1116,11505,120,9734,1651,117,10,30,77,26208,168,26040
2017.01,강북구,76983,270,71871,4842,62976,80,60088,2808,4456,46,3656,754,9421,127,8095,1199,130,17,32,81,21929,74,21855
2017.01,도봉구,97208,229,89283,7696,81702,58,76251,5393,4378,40,3904,434,10935,125,9086,1724,193,6,42,145,14690,155,14535
2017.01,노원구,156134,252,146315,9567,135035,53,128673,6309,6662,49,5686,927,14123,141,11904,2078,314,9,52,253,15249,68,15181
2017.01,은평구,128000,225,120920,6855,107804,67,103760,3977,6048,34,5232,782,13916,116,11878,1922,232,8,50,174,21076,110,20966
2017.01,서대문구,84668,419,79032,5217,71922,170,68825,2927,3826,82,3366,378,8771,156,6796,1819,149,11,45,93,14969,167,14802
2017.01,마포구,117291,291,109417,7583,99077,70,94854,4153,4969,50,4187,732,12925,153,10285,2487,320,18,91,211,17326,177,17149
2017.01,양천구,150620,297,141373,8950,127666,108,122684,4874,6172,50,5084,1038,16271,131,13504,2636,511,8,101,402,17583,139,17444
2017.01,강서구,196608,287,181128,15193,166337,83,155553,10701,8438,38,6998,1402,21491,155,18466,2870,342,11,111,220,18561,165,18396
2017.01,구로구,141107,247,129530,11330,116085,60,108271,7754,6971,50,6177,744,17783,128,14976,2679,268,9,106,153,16310,214,16096
2017.01,금천구,85104,93,77868,7143,66676,19,62456,4201,4711,12,4208,491,13575,59,11155,2361,142,3,49,90,11690,47,11643
2017.01,영등포구,146193,307,136056,9830,118345,98,113977,4270,6259,40,5788,431,20455,156,15812,4487,1134,13,479,642,16675,186,16489
2017.01,동작구,104416,271,101364,2781,90872,74,89608,1190,3848,48,3682,118,9298,136,7985,1177,398,13,89,296,15112,195,14917
2017.01,관악구,122425,266,116390,5769,103602,67,100125,3410,5459,35,5133,291,13139,153,11091,1895,225,11,41,173,24800,294,24506
2017.01,서초구,180310,587,169501,10222,156510,252,152172,4086,5908,155,4938,815,17558,166,12245,5147,334,14,146,174,14403,282,14121
2017.01,강남구,243194,350,222719,20125,215250,118,198366,16766,7156,45,6205,906,20433,170,17986,2277,355,17,162,176,17533,353,17180
2017.01,송파구,223617,330,211448,11839,191910,89,185836,5985,8046,84,6355,1607,23363,150,19175,4038,298,7,82,209,18803,240,18563
2017.01,강동구,136915,222,128288,8405,115117,54,109632,5431,5525,34,4896,595,15989,129,13714,2146,284,5,46,233,16674,156,16518
2017.01,기타,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,13
2017.02,서울시,3093930,11095,2886488,196347,2610151,3960,2487110,119081,133258,3109,113746,16403,343282,3683,283499,56100,7239,343,2133,4763,450770,4610,446160
2017.02,종로구,49139,3569,43969,1601,39382,1705,37212,465,4000,1414,2262,324,5579,365,4470,744,178,85,25,68,13376,323,13053
2017.02,중구,51508,987,46618,3903,40325,244,38336,1745,3612,549,2656,407,7397,179,5563,1655,174,15,63,96,14849,239,14610
2017.02,용산구,75618,345,73038,2235,65293,134,64024,1135,2908,50,2796,62,7283,150,6137,996,134,11,81,42,16321,207,16114
2017.02,성동구,100587,268,91043,9276,85245,79,78221,6945,3821,35,3196,590,11331,144,9560,1627,190,10,66,114,20452,119,20333
2017.02,광진구,97262,275,91330,5657,81106,71,77919,3116,4375,45,3620,710,11523,152,9772,1599,258,7,19,232,18469,203,18266
2017.02,동대문구,97515,275,91451,5789,79165,83,75967,3115,4494,58,4219,217,13687,124,11218,2345,169,10,47,112,24060,233,23827
2017.02,중랑구,112325,188,102516,9621,90608,41,84514,6053,5533,33,4959,541,15795,98,12980,2717,389,16,63,310,24276,100,24176
2017.02,성북구,116861,223,111151,5487,99304,67,96586,2651,5972,28,4826,1118,11469,118,9710,1641,116,10,29,77,26171,169,26002
2017.02,강북구,76931,271,71846,4814,62948,81,60089,2778,4439,46,3639,754,9415,127,8086,1202,129,17,32,80,21898,75,21823
2017.02,도봉구,97187,229,89292,7666,81706,58,76276,5372,4362,40,3888,434,10926,125,9084,1717,193,6,44,143,14667,155,14512
2017.02,노원구,156026,252,146186,9588,134979,53,128602,6324,6641,49,5648,944,14093,141,11884,2068,313,9,52,252,15184,68,15116
2017.02,은평구,127965,225,120862,6878,107813,67,103740,4006,6019,34,5203,782,13899,115,11868,1916,234,9,51,174,21038,110,20928
2017.02,서대문구,84936,420,79173,5343,72071,170,68976,2925,3814,84,3351,379,8802,156,6801,1845,249,10,45,194,14931,167,14764
2017.02,마포구,116983,291,109281,7411,98964,70,94765,4129,4948,50,4170,728,12854,153,10257,2444,217,18,89,110,17270,177,17093
2017.02,양천구,150470,295,141235,8940,127581,106,122607,4868,6156,50,5069,1037,16220,131,13458,2631,513,8,101,404,17582,137,17445
2017.02,강서구,196928,288,181444,15196,166664,84,155873,10707,8417,39,6986,1392,21506,155,18476,2875,341,10,109,222,18525,165,18360
2017.02,구로구,141144,253,129540,11351,116058,67,108274,7717,6974,50,6186,738,17834,128,14964,2742,278,8,116,154,16284,214,16070
2017.02,금천구,85386,93,78223,7070,66936,19,62795,4122,4721,12,4218,491,13587,59,11162,2366,142,3,48,91,11690,45,11645
2017.02,영등포구,145619,319,135558,9742,117896,108,113518,4270,6235,40,5765,430,20374,158,15798,4418,1114,13,477,624,16631,185,16446
2017.02,동작구,104337,271,101307,2759,90805,73,89548,1184,3837,48,3673,116,9299,137,7995,1167,396,13,91,292,15112,195,14917
2017.02,관악구,122147,264,116161,5722,103351,65,99937,3349,5436,35,5109,292,13130,153,11074,1903,230,11,41,178,24721,294,24427
2017.02,서초구,180114,590,169363,10161,156339,254,152051,4034,5888,156,4917,815,17549,166,12246,5137,338,14,149,175,14368,280,14088
2017.02,강남구,244361,350,224078,19933,216393,118,199685,16590,7114,45,6173,896,20498,170,18056,2272,356,17,164,175,17415,354,17061
2017.02,송파구,224497,332,212377,11788,192927,89,186788,6050,8025,85,6336,1604,23242,150,19172,3920,303,8,81,214,18803,240,18563
2017.02,강동구,138084,222,129446,8416,116292,54,110807,5431,5517,34,4881,602,15990,129,13708,2153,285,5,50,230,16664,156,16508
2017.02,기타,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,13
2017.03,서울시,3095613,11259,2888504,195850,2612587,4048,2489902,118637,132674,3156,113136,16382,343082,3713,283319,56050,7270,342,2147,4781,450857,4617,446240
2017.03,종로구,49416,3617,44181,1618,39677,1727,37476,474,4001,1439,2236,326,5558,366,4442,750,180,85,27,68,13359,323,13036
2017.03,중구,51238,991,46384,3863,40069,245,38153,1671,3585,550,2637,398,7410,181,5531,1698,174,15,63,96,14797,239,14558
2017.03,용산구,75652,346,73090,2216,65317,133,64062,1122,2885,50,2771,64,7314,152,6175,987,136,11,82,43,16279,207,16072
2017.03,성동구,100826,282,91268,9276,85505,90,78471,6944,3830,39,3198,593,11302,143,9535,1624,189,10,64,115,20475,121,20354
2017.03,광진구,97350,276,91482,5592,81254,72,78104,3078,4370,45,3621,704,11467,152,9737,1578,259,7,20,232,18500,203,18297
2017.03,동대문구,97412,278,91431,5703,79096,83,75960,3053,4439,59,4172,208,13708,126,11251,2331,169,10,48,111,24065,234,23831
