기간,자치구,합계,합계,합계,합계,승용차,승용차,승용차,승용차,승합차,승합차,승합차,승합차,화물차,화물차,화물차,화물차,특수차,특수차,특수차,특수차,이륜차,이륜차,이륜차
기간,자치구,소계,관용,자가용,영업용,소계,관용,자가용,영업용,소계,관용,자가용,영업용,소계,관용,자가용,영업용,소계,관용,자가용,영업용,소계,관용,자가용
2016.02,양천구,150092,296,140655,9141,126258,107,121219,4932,6694,49,5516,1129,16654,131,13821,2702,486,9,99,378,17743,143,17600
2016.02,강서구,191177,296,176169,14712,160498,82,150217,10199,8822,41,7352,1429,21551,162,18500,2889,306,11,100,195,18481,162,18319
2016.02,구로구,138354,218,127620,10516,113101,51,106249,6801,7207,48,6173,986,17802,109,15106,2587,244,10,92,142,16484,59,16425
2016.02,금천구,83230,123,75293,7814,64878,24,59997,4857,4734,11,4249,474,13495,86,11010,2399,123,2,37,84,11772,194,11578
2016.02,영등포구,146791,299,136318,10174,118584,89,113678,4817,6518,42,6040,436,20690,152,16235,4303,999,16,365,618,16907,225,16682
2016.02,동작구,102426,270,99371,2785,88731,70,87453,1208,4034,47,3871,116,9292,139,7968,1185,369,14,79,276,15211,214,14997
2016.02,관악구,121314,255,115253,5806,102062,61,98676,3325,5720,35,5394,291,13307,149,11149,2009,225,10,34,181,24628,285,24343
2016.02,서초구,178945,620,168020,10305,154588,285,150105,4198,6221,148,5245,828,17818,172,12536,5110,318,15,134,169,14216,277,13939
2016.02,강남구,244252,342,223879,20031,215216,103,198676,16437,7696,50,6704,942,20982,171,18336,2475,358,18,163,177,17199,349,16850
2016.02,송파구,219198,330,207237,11631,186991,93,180883,6015,8573,85,6822,1666,23332,144,19444,3744,302,8,88,206,18376,239,18137
2016.02,강동구,137841,220,129154,8467,115272,54,109847,5371,6071,34,5327,710,16230,126,13938,2166,268,6,42,220,16899,151,16748
2016.02,기타,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,13
2016.03,서울시,3066050,11063,2859611,195376,2571990,3956,2450193,117841,140191,3026,120273,16892,346943,3733,287229,55981,6926,348,1916,4662,452470,4733,447737
2016.03,종로구,49666,3542,44528,1596,39632,1735,37436,461,4112,1359,2418,335,5745,366,4649,730,177,82,25,70,13398,324,13074
2016.03,중구,52524,987,47594,3943,41206,245,39049,1912,3746,545,2829,372,7399,181,5652,1566,173,16,64,93,14900,253,14647
2016.03,용산구,76098,346,73732,2020,65425,134,64225,1066,3069,49,2970,50,7474,150,6457,867,130,13,80,37,16544,225,16319
2016.03,성동구,96158,263,87760,8135,80664,79,74731,5854,4009,33,3426,550,11315,142,9552,1621,170,9,51,110,20144,119,20025
2016.03,광진구,96734,269,90901,5564,80187,70,77121,2996,4557,43,3842,672,11724,149,9919,1656,266,7,19,240,18708,191,18517
2016.03,동대문구,96947,269,90852,5826,78058,82,74955,3021,4786,54,4463,269,13895,121,11397,2377,208,12,37,159,24253,244,24009
2016.03,중랑구,110726,188,101089,9449,88750,42,82742,5966,5797,32,5243,522,15849,98,13043,2708,330,16,61,253,24432,100,24332
2016.03,성북구,116890,221,111134,5535,98752,65,96007,2680,6314,30,5165,1119,11712,116,9935,1661,112,10,27,75,26365,164,26201
2016.03,강북구,76033,282,70899,4852,61791,86,58941,2764,4651,47,3832,772,9463,132,8089,1242,128,17,37,74,21864,76,21788
2016.03,도봉구,96235,228,88241,7766,80373,56,74860,5457,4606,39,4118,449,11069,127,9222,1720,187,6,41,140,14694,156,14538
2016.03,노원구,155230,252,145221,9757,133736,53,127119,6564,6934,48,6028,858,14273,143,12022,2108,287,8,52,227,15259,95,15164
2016.03,은평구,126983,222,119809,6952,106330,63,102176,4091,6396,35,5573,788,14040,116,12018,1906,217,8,42,167,21159,143,21016
2016.03,서대문구,83699,406,78280,5013,70705,161,67829,2715,3987,73,3523,391,8868,161,6893,1814,139,11,35,93,14939,167,14772
2016.03,마포구,117271,276,109487,7508,98406,60,94332,4014,5294,46,4472,776,13226,154,10590,2482,345,16,93,236,17678,178,17500
2016.03,양천구,150018,307,140573,9138,126269,107,121242,4920,6649,49,5466,1134,16609,142,13768,2699,491,9,97,385,17717,141,17576
