순위,회사명,15년 매출액,14년 매출액,증감율(%),기업형태,위치
85,한국남부발전(주),"4,317,995","6,209,536",-30,외감,부산광역시 남구
86,(주)비지에프리테일,"4,257,634","3,303,137",29,유가,서울 강남구
87,흥국화재해상보험(주),"4,232,529","3,808,749",11,유가,서울 종로구
88,한국서부발전(주),"4,214,540","4,840,007",-13,외감,충청남도 태안군
89,미래에셋생명보험(주),"4,199,998","3,692,467",14,유가,서울 영등포구
90,롯데건설(주),"4,128,165","4,449,752",-7,외감,서울 서초구
91,고려아연(주),"4,087,040","4,214,905",-3,유가,서울 강남구
92,한국동서발전(주),"4,047,655","4,507,011",-10,외감,울산광역시 중구
93,(주)서브원,"3,954,770","3,784,161",5,외감,서울 종로구
94,한국중부발전(주),"3,927,443","5,041,682",-22,외감,충청남도 보령시
95,한국농어촌공사,"3,900,932","3,345,344",17,외감,전라남도 나주시
96,롯데하이마트(주),"3,896,137","3,754,295",4,유가,서울 강남구
97,KDB생명보험(주),"3,855,658","3,327,800",16,외감,서울 강남구
98,(주)E1,"3,822,716","5,912,088",-35,유가,서울 강남구
99,(주)아모레퍼시픽,"3,757,959","3,182,317",18,유가,서울 중구
100,(주)현대미포조선,"3,701,784","3,365,277",10,유가,울산광역시 중구
101,(주)엘지상사,"3,675,879","3,776,502",-3,유가,서울 영등포구
102,한국수자원공사,"3,650,323","3,657,235",0,외감,대전광역시 대덕구
103,현대종합상사(주),"3,641,767","4,591,025",-21,유가,서울 종로구
104,두산인프라코어(주),"3,488,643","4,196,729",-17,유가,인천광역시 동구
105,에스케이트레이딩인터내셔널(주),"3,476,918","8,063,698",-57,외감,
106,현대파워텍(주),"3,455,082","3,253,110",6,외감,
107,쌍용자동차(주),"3,385,556","3,314,896",2,유가,
108,코오롱인더스트리(주),"3,381,053","3,905,572",-13,유가,
109,한국타이어(주),"3,358,417","3,667,465",-8,유가,
110,현대산업개발(주),"3,347,032","3,152,019",6,유가,
111,한화케미칼(주),"3,269,466","3,579,535",-9,유가,
112,(주)농협손해보험,"3,254,822","3,179,478",2,외감,
113,(주)코스트코코리아,"3,200,014","2,861,897",12,외감,
114,금호석유화학(주),"3,159,552","3,766,992",-16,유가,
115,(주)포스코피앤에스,"3,144,016","3,162,892",-1,외감,
116,메르세데스벤츠코리아(주),"3,141,545","2,204,528",43,외감,
117,(주)만도,"3,094,154","1,047,182",195,유가,
118,(주)코리아세븐,"3,079,967","2,375,559",30,외감,
119,현대로템(주),"3,073,343","2,931,543",5,유가,
120,(주)케이씨씨,"3,067,640","3,032,297",1,유가,
121,(주)엘지생활건강,"3,031,336","2,513,352",21,유가,
122,코오롱글로벌(주),"3,008,627","2,806,793",7,유가,
123,LS전선(주),"2,975,829","3,425,100",-13,외감,
124,한국항공우주산업(주),"2,901,032","2,314,884",25,유가,
125,(주)삼천리,"2,877,278","3,500,333",-18,유가,
126,비엠더블유코리아(주),"2,875,677","2,299,930",25,외감,
127,롯데로지스틱스(주),"2,845,336","2,220,210",28,외감,
128,에스케이가스(주),"2,826,942","4,313,542",-34,유가,
129,(주)케이티앤지,"2,821,671","2,742,561",3,유가,
130,아우디폭스바겐코리아(주),"2,818,537","2,661,917",6,외감,
131,롯데손해보험(주),"2,799,123","2,494,984",12,유가,
132,(주)호텔신라,"2,782,231","2,795,389",0,유가,
133,(주)한화건설,"2,739,420","3,120,615",-12,외감,
134,에스케이브로드밴드(주),"2,731,344","2,654,381",3,외감,
135,(주)아이마켓코리아,"2,605,008","2,456,139",6,유가,
136,(주)대림코퍼레이션,"2,556,359","3,547,175",-28,외감,
137,(주)농협하나로유통,"2,535,330","4,365,082",-42,외감,
138,서울주택도시공사,"2,523,980","3,155,154",-20,외감,
139,경기도시공사,"2,500,033","2,769,010",-10,외감,
140,알리안츠생명보험(주),"2,467,467",,,외감,
141,한화테크윈(주),"2,465,321","2,482,633",-1,유가,
142,금호타이어(주),"2,396,367","2,755,119",-13,유가,
143,SK루브리컨츠(주),"2,376,675","3,025,477",-21,외감,
144,(주)엘지하우시스,"2,370,082","2,440,439",-3,유가,
145,한온시스템(주),"2,273,905","2,342,661",-3,유가,
146,유코카캐리어스(주),"2,269,878","2,481,508",-9,외감,
147,현대다이모스(주),"2,249,929","1,949,441",15,외감,
148,(주)엘지씨엔에스,"2,209,936","2,342,295",-6,외감,
149,롯데칠성음료(주),"2,194,881","2,083,654",5,유가,
150,삼성전자판매(주),"2,180,973","1,971,905",11,외감,
151,OCI(주),"2,174,598","2,307,837",-6,유가,
152,동우화인켐(주),"2,163,916","2,077,404",4,외감,
153,코웨이(주),"2,161,298","2,013,641",7,유가,
154,현대코스모(주),"2,155,732","2,885,284",-25,외감,
155,네이버(주),"2,141,275","1,637,165",31,유가,
156,동부생명보험(주),"2,121,308","1,799,696",18,외감,
157,STX조선해양(주),"2,084,219","2,204,889",-5,외감,
158,SK(주),"2,065,032","1,974,143",5,유가,
159,(주)이랜드리테일,"2,042,527","2,044,100",0,외감,
160,(주)한진중공업,"2,041,347","1,799,016",13,유가,
161,(주)풍산,"2,040,817","2,243,350",-9,유가,
162,한국지역난방공사,"2,001,946","2,369,115",-16,유가,
163,노벨리스코리아(주),"2,000,959","1,962,941",2,외감,
164,메트라이프생명보험(주),"1,977,930","1,857,532",6,외감,
165,라이나생명보험(주),"1,957,556","1,786,952",10,외감,
166,(주)지에스글로벌,"1,926,450","2,507,551",-23,유가,
167,포스코에너지(주),"1,909,919","2,533,673",-25,외감,
168,푸르덴셜생명보험(주),"1,906,523","1,777,362",7,외감,
169,엘아이지넥스원(주),"1,903,224","1,400,104",36,유가,
170,서울보증보험(주),"1,881,027","1,874,348",0,외감,
171,(주)농심,"1,878,665","1,801,320",4,유가,
172,인천국제공항공사,"1,878,516","1,679,761",12,외감,
173,(주)두산,"1,873,556","1,995,373",-6,유가,
174,(주)오뚜기,"1,829,762","1,745,068",5,유가,
175,(주)세아베스틸,"1,826,024","2,202,367",-17,유가,
176,태광산업(주),"1,814,429","2,142,940",-15,유가,
177,피에스앤마케팅(주),"1,791,944","1,616,980",11,외감,
178,(주)에스원,"1,788,782","1,619,767",10,유가,
179,롯데제과(주),"1,775,103","1,704,597",4,유가,
180,(주)이랜드월드,"1,763,102","1,680,293",5,외감,
181,팬오션(주),"1,760,590","1,555,024",13,유가,
182,LS산전(주),"1,753,118","1,827,657",-4,유가,
183,한국바스프(주),"1,751,176","2,062,541",-15,외감,
184,두산건설(주),"1,737,770","2,288,266",-24,유가,
185,(주)파리크라상,"1,727,744","1,653,240",5,외감,
186,대한유화(주),"1,717,484","2,046,146",-16,유가,
187,롯데푸드(주),"1,706,248","1,633,022",4,유가,
188,성동조선해양(주),"1,692,900","696,929",143,외감,
189,SK이노베이션(주),"1,667,200","1,589,721",5,유가,
190,하이트진로(주),"1,663,246","1,605,639",4,유가,
191,삼성웰스토리(주),"1,662,328","1,583,499",5,외감,
192,삼성코닝정밀소재(주),"1,652,911","1,874,329",-12,외감,
193,대상(주),"1,648,286","1,601,117",3,유가,
194,농협경제지주(주),"1,636,344","75,109","2,079",외감,
195,(주)한샘,"1,631,047","1,265,509",29,유가,
196,(주)강원랜드,"1,630,977","1,492,291",9,유가,
197,에스케이플래닛(주),"1,624,630","1,512,492",7,외감,
198,KB생명보험(주),"1,624,225","1,450,593",12,외감,
199,한성자동차(주),"1,620,871","1,266,578",28,외감,
200,에스케이씨(주),"1,616,228","1,899,152",-15,유가,
201,(주)현대케피코,"1,610,395","1,562,666",3,외감,
202,동부제철(주),"1,604,044","2,639,096",-39,유가,
203,볼보그룹코리아(주),"1,595,066","1,748,668",-9,외감,
204,씨제이프레시웨이(주),"1,593,115","1,726,869",-8,코스,
205,한국쓰리엠(주),"1,573,147","1,490,752",6,외감,
206,한화종합화학(주),"1,568,209","1,121,238",40,외감,
207,(주)한진,"1,542,211","1,306,361",18,유가,
208,서울도시가스(주),"1,533,173","1,826,774",-16,유가,
209,금호산업(주),"1,530,257","1,522,760",0,유가,
210,현대라이프생명보험(주),"1,526,660","1,061,754",44,외감,
211,유한킴벌리(주),"1,519,060","1,400,699",8,외감,
212,한국화낙(주),"1,517,759","541,542",180,외감,
213,동서식품(주),"1,506,570","1,501,658",0,외감,
214,(주)부영주택,"1,500,195","1,793,864",-16,외감,
215,오비맥주(주),"1,490,813","1,530,046",-3,외감,
216,(주)신세계,"1,486,079","1,502,015",-1,유가,
217,(주)현대그린푸드,"1,476,016","1,364,600",8,유가,
218,넥센타이어(주),"1,468,927","1,382,130",6,유가,
219,한세실업(주),"1,464,201","1,242,366",18,유가,
220,홈플러스스토어즈(주),"1,460,829","1,601,090",-9,외감,
221,(주)하이프라자,"1,452,959","1,456,821",0,외감,
222,(주)LF,"1,429,859","1,385,279",3,유가,
223,(주)세아제강,"1,426,471","1,870,280",-24,유가,
224,쌍용양회공업(주),"1,416,157","1,387,093",2,유가,
225,(주)서원홀딩스,"1,401,855","1,341,868",4,외감,
226,앰코테크놀로지코리아(주),"1,396,291","1,346,517",4,외감,
227,(주)동원F&B,"1,374,937","1,338,174",3,유가,
228,SK해운(주),"1,369,119","1,369,216",0,외감,
229,(주)농협유통,"1,368,607","1,232,222",11,외감,
230,(주)경신,"1,363,820","1,272,742",7,외감,
231,(주)STX,"1,362,127","1,291,351",5,유가,
232,대한전선(주),"1,360,383","1,617,496",-16,유가,
