4. 2014년 고층 건축물 현황,,,,,,
,,,,,,
, 경상남도 ,,더시티세븐,자이,43,경상남도 창원시 의창구 대원동 121번지
, 제주특별자치도 ,,제주연동 롯데시티호텔,,22,제주특별자치도 제주시 연동 2324-6번지
,,,,,,
,□ 50층 이상 건축물,,,,,
,시도,,건물명,동명칭,지상층수,위치 (시군구)
,부산광역시,,해운대 두산위브더제니스,101동,80,부산광역시 해운대구 우동
,부산광역시,,해운대 두산위브더제니스,102동,75,부산광역시 해운대구 우동
,부산광역시,,해운대 l'PARK,주동2,72,부산광역시 해운대구 우동
,부산광역시,,해운대 두산위브더제니스,103동,70,부산광역시 해운대구 우동
,서울특별시,,현대하이페리온,,69,서울특별시 양천구 목동
,서울특별시,,타워팰리스,지동,69,서울특별시 강남구 도곡동
,인천광역시,,,NEAT TOWER,68,인천광역시 연수구 송도동
,서울특별시,,타워팰리스,비동,66,서울특별시 강남구 도곡동
,부산광역시,,해운대 l'PARK,주동1,66,부산광역시 해운대구 우동
,경기도,,리첸시아 중동,,66,경기도 부천시 원미구 중동
,경기도,,METAPOLIS,D동,66,경기도 화성시 반송동
,경기도,,METAPOLIS,A동,66,경기도 화성시 반송동
,충청남도,,펜타포트,103동,66,충청남도 천안시 서북구 불당동
,인천광역시,,송도 더샵 퍼스트월드,1동,64,인천광역시 연수구 송도동
,인천광역시,,송도 더샵 퍼스트월드,6동,64,인천광역시 연수구 송도동
,인천광역시,,송도 더샵 퍼스트월드,3동,64,인천광역시 연수구 송도동
,인천광역시,,송도 더샵 퍼스트월드,4동,64,인천광역시 연수구 송도동
,부산광역시,,부산국제금융센터,,63,부산광역시 남구 문현동
,서울특별시,,한화금융센터_63,,60,서울특별시 영등포구 여의도동
,부산광역시,,더샾 센텀스타,B동,60,부산광역시 해운대구 재송동
,경기도,,METAPOLIS,B동,60,경기도 화성시 반송동
,서울특별시,,타워팰리스,씨동,59,서울특별시 강남구 도곡동
,서울특별시,,타워팰리스,에이동,59,서울특별시 강남구 도곡동
,경기도,,일산 두산위브더제니스,105동,59,경기도 고양시 일산서구 탄현동
,서울특별시,,더샵스타시티,A동,58,서울특별시 광진구 자양동
,부산광역시,,더샵 센트럴스타,A동,58,부산광역시 부산진구 부전동
,인천광역시,,청라더샵레이크파크,451동,58,인천광역시 서구 경서동
,인천광역시,,청라푸르지오아파트,361동,58,인천광역시 서구 경서동
,대구광역시,,수성 SK 리더스뷰,103,57,대구광역시 수성구 두산동
,대구광역시,,수성 SK 리더스뷰,105,57,대구광역시 수성구 두산동
,경기도,,일산 두산위브더제니스,104동,57,경기도 고양시 일산서구 탄현동
,서울특별시,,서울 국제금융 센터,쓰리 아이에프씨동,55,서울특별시 영등포구 여의도동
,서울특별시,,타워팰리스,에프동,55,서울특별시 강남구 도곡동
,서울특별시,,타워팰리스,이동,55,서울특별시 강남구 도곡동
,인천광역시,,청라 풍림 엑슬루타워,102동,55,인천광역시 서구 연희동
,인천광역시,,청라 풍림 엑슬루타워,103동,55,인천광역시 서구 연희동
,경기도,,일산 두산위브더제니스,103동,55,경기도 고양시 일산서구 탄현동
,경기도,,METAPOLIS,C동,55,경기도 화성시 반송동
,서울특별시,,무역회관,,54,서울특별시 강남구 삼성동
,대구광역시,,두산위브더제니스,107동,54,대구광역시 수성구 범어동
,대구광역시,,두산위브더제니스,106동,54,대구광역시 수성구 범어동
,울산광역시,,태화강엑소디움,101동,54,울산광역시 중구 옥교동
,울산광역시,,태화강 엑소디움,102동,54,울산광역시 중구 옥교동
,경기도,,일산 두산위브더제니스,102동,54,경기도 고양시 일산서구 탄현동
,경기도,,일산 두산위브더제니스,106동,54,경기도 고양시 일산서구 탄현동
,대구광역시,,두산위브더제니스,104동,53,대구광역시 수성구 범어동
,대구광역시,,두산위브더제니스,105동,53,대구광역시 수성구 범어동
,인천광역시,,엑슬루타워,102동,53,인천광역시 남구 학익동
,인천광역시,,인천 용현 엑슬루타워,103,53,인천광역시 남구 용현동
,경기도,,일산 두산위브더제니스,101동,53,경기도 고양시 일산서구 탄현동
,경기도,,일산 두산위브더제니스,107동,53,경기도 고양시 일산서구 탄현동
,부산광역시,,벽산아스타,101동,52,부산광역시 동래구 온천동
,부산광역시,,더샾 센텀스타,C동,52,부산광역시 해운대구 재송동
,대구광역시,,두산위브더제니스,109동,52,대구광역시 수성구 범어동
,대구광역시,,두산위브더제니스,108동,52,대구광역시 수성구 범어동
,서울특별시,,디큐브시티,아파트동,51,서울특별시 구로구 신도림동
,서울특별시,,아카데미스위트,에이동,51,서울특별시 강남구 도곡동
,부산광역시,,더샾 센텀스타,A동,51,부산광역시 해운대구 재송동
