기간,자치구,총이동,총이동,총이동,총이동,총이동,총이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,순이동,순이동,순이동
기간,자치구,총전입(①+②+④),총전입(①+②+④),총전입(①+②+④),총전출(①+③+⑤),총전출(①+③+⑤),총전출(①+③+⑤),구내이동(①),구내이동(①),구내이동(①),구간이동,구간이동,구간이동,구간이동,구간이동,구간이동,전입(④),전입(④),전입(④),전출(⑤),전출(⑤),전출(⑤),순이동,순이동,순이동
기간,자치구,총전입(①+②+④),총전입(①+②+④),총전입(①+②+④),총전출(①+③+⑤),총전출(①+③+⑤),총전출(①+③+⑤),구내이동(①),구내이동(①),구내이동(①),전입(②),전입(②),전입(②),전출(③),전출(③),전출(③),전입(④),전입(④),전입(④),전출(⑤),전출(⑤),전출(⑤),순이동,순이동,순이동
기간,자치구,소계,남자,여자,소계,남자,여자,소계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자
2016.02,성북구,6122,2939,3183,6384,3111,3273,1391,668,723,2434,1185,1249,2619,1269,1350,2297,1086,1211,2374,1174,1200,-262,-172,-90
2016.02,강북구,3672,1826,1846,3949,1984,1965,1038,533,505,1491,761,730,1599,768,831,1143,532,611,1312,683,629,-277,-158,-119
2016.02,도봉구,3604,1768,1836,4001,1992,2009,1156,554,602,1415,704,711,1418,682,736,1033,510,523,1427,756,671,-397,-224,-173
2016.02,노원구,7796,3907,3889,7926,3925,4001,2496,1228,1268,2635,1309,1326,2282,1091,1191,2665,1370,1295,3148,1606,1542,-130,-18,-112
2016.02,은평구,6318,3079,3239,6976,3367,3609,2509,1184,1325,1876,941,935,1876,925,951,1933,954,979,2591,1258,1333,-658,-288,-370
2016.02,서대문구,6037,2880,3157,4723,2334,2389,1231,576,655,2646,1270,1376,1817,866,951,2160,1034,1126,1675,892,783,1314,546,768
2016.02,마포구,6165,2920,3245,6376,3085,3291,1287,595,692,2552,1219,1333,2828,1389,1439,2326,1106,1220,2261,1101,1160,-211,-165,-46
2016.02,양천구,6233,3098,3135,6901,3455,3446,1944,939,1005,2488,1242,1246,2574,1311,1263,1801,917,884,2383,1205,1178,-668,-357,-311
2016.02,강서구,7858,3826,4032,7728,3840,3888,2420,1136,1284,2757,1366,1391,2217,1111,1106,2681,1324,1357,3091,1593,1498,130,-14,144
2016.02,구로구,4893,2482,2411,5255,2648,2607,1031,526,505,1824,942,882,1771,887,884,2038,1014,1024,2453,1235,1218,-362,-166,-196
2016.02,금천구,2726,1448,1278,3022,1617,1405,735,390,345,781,416,365,896,491,405,1210,642,568,1391,736,655,-296,-169,-127
2016.02,영등포구,6625,3319,3306,6810,3435,3375,1448,730,718,2734,1342,1392,2730,1350,1380,2443,1247,1196,2632,1355,1277,-185,-116,-69
2016.02,동작구,6883,3402,3481,6789,3394,3395,1290,642,648,2885,1414,1471,2786,1348,1438,2708,1346,1362,2713,1404,1309,94,8,86
2016.02,관악구,9173,4794,4379,8887,4597,4290,2221,1117,1104,2685,1380,1305,2986,1532,1454,4267,2297,1970,3680,1948,1732,286,197,89
2016.02,서초구,7100,3417,3683,7876,3816,4060,1778,844,934,3078,1490,1588,3214,1561,1653,2244,1083,1161,2884,1411,1473,-776,-399,-377
2016.02,강남구,10421,5015,5406,11346,5535,5811,3260,1528,1732,3808,1857,1951,3860,1902,1958,3353,1630,1723,4226,2105,2121,-925,-520,-405
2016.02,송파구,9659,4728,4931,11843,5820,6023,3197,1545,1652,3340,1614,1726,3003,1493,1510,3122,1569,1553,5643,2782,2861,-2184,-1092,-1092
2016.02,강동구,6397,3218,3179,7827,3975,3852,2817,1403,1414,1820,909,911,1827,930,897,1760,906,854,3183,1642,1541,-1430,-757,-673
2016.03,서울특별시,140880,70480,70400,149700,75152,74548,42822,20817,22005,51518,25571,25947,51518,25571,25947,46540,24092,22448,55360,28764,26596,-8820,-4672,-4148
2016.03,종로구,2847,1439,1408,2679,1382,1297,462,224,238,1078,552,526,1369,697,672,1307,663,644,848,461,387,168,57,111
2016.03,중구,2115,1098,1017,1941,1018,923,366,171,195,1079,560,519,970,506,464,670,367,303,605,341,264,174,80,94
2016.03,용산구,3479,1728,1751,3769,1934,1835,808,397,411,1475,720,755,1611,818,793,1196,611,585,1350,719,631,-290,-206,-84
2016.03,성동구,3882,1961,1921,4152,2106,2046,907,453,454,1771,878,893,1826,903,923,1204,630,574,1419,750,669,-270,-145,-125
2016.03,광진구,5444,2683,2761,5671,2853,2818,1552,763,789,2022,980,1042,2056,1037,1019,1870,940,930,2063,1053,1010,-227,-170,-57
2016.03,동대문구,5020,2600,2420,5170,2719,2451,1335,662,673,1935,984,951,2014,1075,939,1750,954,796,1821,982,839,-150,-119,-31
2016.03,중랑구,5744,2866,2878,5928,2983,2945,2203,1094,1109,2037,1004,1033,1670,832,838,1504,768,736,2055,1057,998,-184,-117,-67
2016.03,성북구,5938,2838,3100,6310,3064,3246,1798,845,953,2226,1077,1149,2459,1183,1276,1914,916,998,2053,1036,1017,-372,-226,-146
2016.03,강북구,4135,2085,2050,4434,2263,2171,1452,742,710,1675,841,834,1717,835,882,1008,502,506,1265,686,579,-299,-178,-121
2016.03,도봉구,4033,2000,2033,4296,2179,2117,1337,668,669,1624,793,831,1518,746,772,1072,539,533,1441,765,676,-263,-179,-84
2016.03,노원구,7778,3946,3832,7692,3818,3874,2539,1221,1318,2628,1295,1333,2372,1169,1203,2611,1430,1181,2781,1428,1353,86,128,-42
2016.03,은평구,7135,3474,3661,7748,3880,3868,3103,1516,1587,2206,1047,1159,2074,1033,1041,1826,911,915,2571,1331,1240,-613,-406,-207
2016.03,서대문구,5607,2702,2905,4767,2288,2479,1246,565,681,2601,1273,1328,1847,870,977,1760,864,896,1674,853,821,840,414,426
2016.03,마포구,6400,3125,3275,6902,3354,3548,1871,897,974,2432,1168,1264,2762,1333,1429,2097,1060,1037,2269,1124,1145,-502,-229,-273
2016.03,양천구,4827,2406,2421,5769,2894,2875,1610,762,848,1869,946,923,2145,1063,1082,1348,698,650,2014,1069,945,-942,-488,-454
2016.03,강서구,7810,3888,3922,7531,3747,3784,2369,1141,1228,2889,1424,1465,2087,1035,1052,2552,1323,1229,3075,1571,1504,279,141,138
2016.03,구로구,4914,2421,2493,5078,2551,2527,1192,586,606,1696,817,879,1577,768,809,2026,1018,1008,2309,1197,1112,-164,-130,-34
2016.03,금천구,2974,1571,1403,3214,1710,1504,863,444,419,873,449,424,890,464,426,1238,678,560,1461,802,659,-240,-139,-101
2016.03,영등포구,5988,3032,2956,6321,3239,3082,1573,773,800,2236,1134,1102,2494,1247,1247,2179,1125,1054,2254,1219,1035,-333,-207,-126
2016.03,동작구,6197,3021,3176,5995,2934,3061,1365,644,721,2535,1231,1304,2426,1151,1275,2297,1146,1151,2204,1139,1065,202,87,115
2016.03,관악구,9513,5195,4318,9259,4853,4406,2521,1299,1222,2856,1512,1344,3012,1548,1464,4136,2384,1752,3726,2006,1720,254,342,-88
