103000002,15,11,1,1,0,0,0,0,0,0,60,121,134,289,134,635,187,770,150,542,171,362,185,301,212,289,233,302,256,289,290,280,332,323,392,321,580,374,417,305,252,203,234,192,260,150,140,85,
990011520,59,68,1,0,0,0,0,0,0,0,10,10,47,40,150,124,382,127,188,137,193,145,185,150,198,208,218,221,232,311,246,384,244,451,299,461,464,422,273,426,228,432,237,400,243,393,175,234,
124000171,1,0,0,0,0,0,0,0,12,23,76,28,96,86,283,279,262,444,233,201,182,106,156,116,177,133,190,175,175,154,144,143,157,180,223,224,360,329,165,191,115,145,127,127,123,112,3,4,
105000108,1,2,1,1,0,0,0,0,0,0,63,26,154,66,335,163,315,215,268,165,224,134,226,120,221,125,227,132,217,139,216,158,207,168,213,197,231,236,167,236,110,172,88,172,77,175,32,117,
105000109,1,4,1,0,0,1,0,0,0,0,23,7,55,25,62,38,123,101,109,94,112,73,98,72,111,92,118,102,118,117,131,160,121,190,144,203,173,244,130,275,94,191,88,152,82,156,47,114,
104000170,169,44,2,1,0,1,0,0,0,0,52,45,100,213,200,274,299,374,234,425,206,448,221,481,308,568,384,634,430,635,538,633,595,650,649,749,741,804,852,734,816,420,976,326,1048,252,738,175,
105000069,1,1,0,1,0,0,0,0,0,0,31,248,48,359,64,731,116,1083,162,764,140,489,118,404,139,427,199,480,207,442,255,440,253,424,358,447,457,522,428,493,247,405,208,324,217,317,84,147,
105000070,0,1,0,0,0,0,0,0,0,0,11,17,35,32,57,86,175,211,165,111,92,56,92,58,93,66,109,86,131,86,164,78,153,80,200,88,261,102,261,108,178,90,159,84,155,73,71,39,
104000293,1,1,0,1,0,0,0,0,2,1,28,31,51,40,102,50,228,170,110,113,97,93,99,90,100,105,108,130,112,137,130,176,117,206,168,215,357,240,163,273,95,195,102,186,80,198,36,88,
105000489,4,9,1,1,1,1,0,0,0,0,124,18,182,27,403,63,438,124,322,88,211,86,183,85,214,92,224,98,206,118,208,179,221,203,231,197,277,212,266,212,166,170,127,146,98,131,50,92,
103000115,9,18,1,1,1,0,0,0,0,0,88,93,200,117,463,307,451,688,356,247,252,194,240,168,289,188,285,195,276,201,282,238,275,267,287,318,306,381,250,413,183,274,141,250,131,216,76,141,
104000052,1,1,0,0,0,0,0,0,23,6,100,52,152,56,493,368,697,366,495,236,406,186,464,142,517,180,527,167,552,151,694,155,881,163,584,216,553,242,380,201,263,142,181,149,187,180,25,30,
103000117,4,28,0,1,0,0,0,0,0,0,14,68,71,148,80,146,77,330,121,243,100,213,95,197,92,214,106,260,103,272,90,321,87,366,76,383,96,515,85,541,49,364,38,325,30,335,18,191,
104000054,16,77,1,1,0,0,0,0,0,0,5,5,48,34,142,267,278,107,223,94,154,91,127,105,156,150,186,179,152,219,216,283,377,334,318,345,261,352,219,410,142,377,118,384,122,361,69,239,
104000055,73,105,1,1,1,0,0,0,0,0,7,15,77,70,151,147,398,208,234,194,220,198,187,209,209,281,257,329,238,394,268,474,295,553,324,522,536,519,325,566,267,565,268,544,280,523,208,316,
123000376,1,0,0,0,0,0,0,0,20,34,92,97,62,118,270,223,354,295,263,214,165,168,161,141,216,166,204,191,184,163,164,171,186,184,218,200,277,244,232,146,194,106,163,123,113,151,13,11,
104000057,17,123,1,1,1,1,0,0,0,0,26,11,146,92,224,124,324,249,199,245,149,198,104,191,108,264,143,324,120,336,125,423,130,488,172,477,188,496,144,541,94,466,95,465,97,457,58,336,
