노선번호,"?""사용년월""",표준버스정류장ID,버스정류장ARS번호,역명,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,6시승차총승객수,6시하차총승객수,7시승차총승객수,7시하차총승객수,8시승차총승객수,8시하차총승객수,9시승차총승객수,9시하차총승객수,10시승차총승객수,10시하차총승객수,11시승차총승객수,11시하차총승객수,12시승차총승객수,12시하차총승객수,13시승차총승객수,13시하차총승객수,14시승차총승객수,14시하차총승객수,15시승차총승객수,15시하차총승객수,16시승차총승객수,16시하차총승객수,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,21시승차총승객수,21시하차총승객수,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수,등록일자
7714,201710,111000907,35331,은평공영차고지,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,0,3,1,5,0,2,0,3,0,8,0,11,0,19,0,6,0,62,1,48,1,12,0,13,0,5,0,5,0,3,0,5,0,20171103
7714,201710,111000001,12001,덕은교.은평차고지앞,0,0,0,0,0,0,0,0,0,0,12,0,6,0,8,0,28,0,11,0,9,0,10,0,5,0,10,1,14,0,11,0,18,0,24,1,22,1,11,0,7,0,5,0,9,0,4,1,20171103
7714,201710,111000003,12003,수색교,0,0,0,0,0,0,0,0,0,0,8,0,12,1,43,1,42,3,21,2,24,1,14,2,19,1,22,1,16,3,18,1,35,12,30,9,54,3,40,1,19,0,12,2,8,1,16,0,20171103
7714,201710,111000005,12005,수색역앞,0,0,0,0,0,0,0,0,0,0,22,1,45,3,41,12,101,17,78,20,51,10,36,7,62,6,51,6,73,16,51,8,67,22,52,16,82,11,59,12,27,3,18,0,26,1,20,1,20171103
7714,201710,111000007,12007,디지털미디어시티역,0,0,0,0,0,0,0,0,0,0,33,11,27,16,35,24,85,52,88,27,60,14,58,17,66,26,88,19,87,24,108,16,114,26,162,39,200,18,172,5,125,6,145,5,110,8,148,7,20171103
7714,201710,112000129,13212,증산교앞,0,0,0,0,0,0,0,0,0,0,1,0,0,2,15,2,26,2,20,2,9,2,9,2,7,9,8,1,13,7,10,6,11,6,11,2,14,13,13,9,13,4,3,5,6,4,8,2,20171103
7714,201710,111000085,12173,증산중학교입구,0,0,0,0,0,0,0,0,0,0,5,8,13,11,58,40,52,57,46,38,32,18,25,21,20,14,29,26,32,28,86,32,104,35,68,49,45,55,19,41,22,37,19,24,32,28,36,20,20171103
7714,201710,111000086,12174,증산역.증산동주민센터,0,0,0,0,0,0,0,0,0,0,16,20,21,21,47,28,25,51,34,40,29,21,34,26,32,30,37,28,33,52,55,39,90,62,84,42,110,51,107,41,68,36,58,40,64,32,50,27,20171103
7714,201710,111000327,12422,연서중학교입구,0,0,0,0,0,0,0,0,0,0,1,3,1,3,6,8,10,13,11,13,10,12,3,12,8,14,7,16,7,9,64,21,69,18,20,36,7,29,7,39,8,24,14,21,11,10,8,31,20171103
7714,201710,111000087,12175,와산교,0,0,0,0,0,0,0,0,0,0,11,6,5,7,19,8,45,30,9,18,11,17,13,9,18,21,15,11,7,13,14,21,22,27,17,31,27,28,17,54,14,41,7,17,22,18,27,22,20171103
7714,201710,111000088,12176,새절역.숭실고입구,0,0,0,0,0,0,0,0,0,0,11,14,51,9,145,21,192,47,155,32,98,23,91,29,153,27,181,26,177,23,313,33,362,44,374,66,538,40,658,47,377,34,274,36,409,33,466,36,20171103
