노선번호,"?""사용년월""",표준버스정류장ID,버스정류장ARS번호,역명,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,6시승차총승객수,6시하차총승객수,7시승차총승객수,7시하차총승객수,8시승차총승객수,8시하차총승객수,9시승차총승객수,9시하차총승객수,10시승차총승객수,10시하차총승객수,11시승차총승객수,11시하차총승객수,12시승차총승객수,12시하차총승객수,13시승차총승객수,13시하차총승객수,14시승차총승객수,14시하차총승객수,15시승차총승객수,15시하차총승객수,16시승차총승객수,16시하차총승객수,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,21시승차총승객수,21시하차총승객수,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수,등록일자
서대문09,201710,112900202,13563,송죽원,0,0,0,0,0,0,0,0,0,0,0,0,102,16,185,16,294,20,203,29,173,33,125,17,117,25,134,28,99,19,111,37,131,26,144,33,93,20,56,9,44,15,33,9,8,14,12,20,20171103
서대문09,201710,112000117,13200,백련교,0,0,0,0,0,0,0,0,0,0,0,0,115,21,270,40,412,97,326,50,245,54,192,30,200,44,232,29,246,46,203,50,279,44,462,50,408,42,225,37,116,27,126,16,67,18,34,3,20171103
서대문09,201710,112900199,13589,가산빌라,0,0,0,0,0,0,0,0,0,0,0,0,108,3,318,7,451,10,290,32,215,6,143,7,153,10,154,13,105,21,145,36,140,21,148,38,134,15,70,20,59,12,25,8,34,5,23,1,20171103
서대문09,201710,112900203,13594,평화슈퍼,0,0,0,0,0,0,0,0,0,0,10,0,39,4,110,3,177,3,146,12,108,14,73,16,60,6,49,20,42,16,41,23,65,23,65,20,52,22,17,19,23,10,5,7,3,4,9,7,20171103
서대문09,201710,112900200,13600,그랜드힐튼호텔,0,0,0,0,0,0,0,0,0,0,7,0,58,5,253,13,375,11,224,10,227,23,118,18,104,22,140,28,119,17,119,17,127,21,165,29,164,22,119,29,74,16,53,7,54,14,26,6,20171103
서대문09,201710,112900201,13660,남양아파트,0,0,0,0,0,0,0,0,0,0,38,2,35,12,47,51,62,50,51,19,46,13,40,21,34,5,48,12,27,12,25,15,26,20,17,25,16,16,11,15,17,10,7,6,5,7,2,2,20171103
서대문09,201710,112900153,13929,유진상가,0,0,0,0,0,0,0,0,0,0,0,5,11,135,22,566,33,785,42,328,43,285,76,219,89,205,109,193,99,239,125,213,131,232,111,279,107,270,122,146,106,88,84,81,75,46,31,46,20171103
서대문09,201710,112000413,13911,홍제역.3번출구,0,0,0,0,0,0,0,0,0,0,63,72,89,497,217,773,232,1086,237,1071,304,863,444,717,497,652,546,654,631,644,821,561,1047,665,1007,753,1320,671,1242,390,1085,286,1056,179,1093,119,589,76,20171103
서대문09,201710,112900204,13912,홍제우체국,0,0,0,0,0,0,0,0,0,0,1,3,3,6,11,13,41,33,40,48,68,70,112,49,145,36,139,58,170,56,150,60,196,74,230,55,207,38,203,35,179,32,146,10,73,14,35,8,20171103
서대문09,201710,112000115,13198,고은초등학교앞,0,0,0,0,0,0,0,0,0,0,0,5,2,3,0,10,0,66,3,28,7,20,9,18,16,31,12,18,30,25,6,47,23,43,15,33,11,41,14,59,12,32,3,24,13,29,5,14,20171103
서대문09,201710,112900034,13808,알뜰슈퍼,0,0,0,0,0,0,0,0,0,0,0,14,0,13,0,32,0,25,3,36,2,26,1,34,3,49,7,50,0,74,4,63,2,93,1,112,2,130,2,117,0,81,2,63,0,83,0,38,20171103
서대문09,201710,112900029,13818,한양슈퍼,0,0,0,0,0,0,0,0,0,0,22,8,14,56,11,111,9,144,13,97,17,203,16,383,17,391,12,477,15,427,10,603,10,870,9,908,5,1028,18,1107,10,943,8,858,1,897,2,419,20171103
서대문09,201710,112900007,13503,풍진베이스타운.안산자락길입구,0,0,0,0,0,0,0,0,0,0,13,2,89,16,15,30,33,45,43,66,50,80,25,103,38,67,27,105,62,199,52,189,71,231,52,237,27,329,38,314,31,259,16,292,11,230,1,150,20171103
서대문09,201709,112000413,13911,홍제역.3번출구,0,0,0,0,0,0,0,0,0,0,50,72,77,610,175,1039,253,1054,293,1230,369,942,510,767,566,764,597,673,762,711,851,609,1135,700,1125,797,1425,824,1519,447,1181,376,1151,255,1207,167,593,83,20171003
서대문09,201709,112900204,13912,홍제우체국,0,0,0,0,0,0,0,0,0,0,1,3,11,3,25,10,48,52,61,47,112,71,153,57,126,50,142,62,179,96,175,77,235,80,254,75,217,62,270,41,228,19,186,32,98,23,29,3,20171003
서대문09,201709,112000115,13198,고은초등학교앞,0,0,0,0,0,0,0,0,0,0,0,9,1,3,1,7,1,96,1,29,7,33,4,21,12,34,14,33,32,43,16,46,28,62,18,34,20,51,18,63,7,35,7,23,8,34,0,16,20171003
서대문09,201709,112900034,13808,알뜰슈퍼,0,0,0,0,0,0,0,0,0,0,3,6,0,8,4,32,2,33,0,52,5,44,0,35,0,55,1,65,3,65,4,79,0,128,2,91,6,144,1,148,1,110,0,80,2,86,2,36,20171003
서대문09,201709,112900029,13818,한양슈퍼,0,0,0,0,0,0,0,0,0,0,24,9,29,55,12,108,7,100,6,120,17,248,9,433,18,407,13,465,25,527,15,612,17,909,7,1016,10,1153,14,1331,11,999,12,955,4,1011,1,445,20171003
서대문09,201709,112900007,13503,풍진베이스타운.안산자락길입구,0,0,0,0,0,0,0,0,0,0,6,11,110,25,24,29,81,63,70,97,64,108,71,131,50,116,33,96,16,92,37,131,47,258,34,262,32,276,43,313,30,344,27,299,6,280,0,126,20171003
서대문09,201709,112900203,13594,평화슈퍼,0,0,0,0,0,0,0,0,0,0,0,0,273,30,565,62,550,71,419,126,347,150,306,189,232,249,212,276,209,291,215,332,233,420,229,530,275,525,99,691,76,445,44,428,43,366,11,105,20171003
서대문09,201709,112900200,13600,그랜드힐튼호텔,0,0,0,0,0,0,0,0,0,0,0,0,281,19,1010,79,1241,66,897,96,849,136,702,199,644,218,548,214,547,239,429,283,573,314,690,381,672,466,464,552,287,418,252,407,182,378,44,110,20171003
서대문09,201709,112900201,13660,남양아파트,0,0,0,0,0,0,0,0,0,0,0,0,166,49,236,292,187,277,176,105,190,96,162,78,165,79,161,81,123,106,137,128,125,143,70,138,57,160,61,138,60,112,47,80,26,74,14,17,20171003
서대문09,201709,112900153,13929,유진상가,0,0,0,0,0,0,0,0,0,0,0,0,18,280,37,1991,75,2402,111,1173,217,900,281,695,336,644,318,620,372,661,380,672,409,731,341,864,313,951,260,576,212,345,105,291,80,215,42,59,20171003
서대문09,201709,112000413,13911,홍제역.3번출구,0,0,0,0,0,0,0,0,0,0,0,0,339,1202,812,3102,1474,2708,1107,2670,1293,2384,1850,2213,2078,2052,2288,2006,2428,1753,2577,1712,3516,1850,4370,2276,5364,2295,5777,1433,4371,1012,4149,721,4197,541,1830,159,20171003
서대문09,201709,112900204,13912,홍제우체국,0,0,0,0,0,0,0,0,0,0,0,0,40,14,60,36,182,177,165,157,206,183,221,189,273,191,270,207,255,194,306,221,352,264,422,268,442,265,451,224,343,182,251,149,159,118,42,43,20171003
서대문09,201709,112000115,13198,고은초등학교앞,0,0,0,0,0,0,0,0,0,0,0,0,0,17,21,49,40,363,38,93,30,105,31,114,64,135,69,148,227,154,161,184,86,241,77,227,49,337,46,367,20,247,11,288,8,268,3,140,20171003
서대문09,201709,112900097,13540,성원아파트,0,0,0,0,0,0,0,0,0,0,0,0,8,47,53,97,66,212,71,116,78,156,62,251,56,293,56,283,62,281,66,249,86,368,76,440,51,605,30,626,39,461,11,431,10,452,7,256,20171003
서대문09,201709,112000116,13199,신연중학교서대문도서관,0,0,0,0,0,0,0,0,0,0,0,0,188,52,442,173,394,415,334,248,371,261,324,405,324,407,333,443,284,492,481,500,485,682,392,814,287,981,323,995,186,745,199,709,165,667,18,382,20171003
서대문09,201709,112900202,13563,송죽원,0,0,0,0,0,0,0,0,0,0,0,0,379,59,760,202,728,290,509,198,382,267,346,372,340,505,353,537,316,587,297,601,328,848,403,1049,320,1251,218,1296,185,1049,104,925,83,1044,17,631,20171003
서대문09,201709,112000117,13200,백련교,0,0,0,0,0,0,0,0,0,0,0,0,292,33,1173,186,1031,403,859,264,690,269,662,388,634,416,651,471,596,508,730,498,783,586,1151,847,1412,833,684,926,402,677,345,524,175,539,49,275,20171003
서대문09,201709,112900199,13589,가산빌라,0,0,0,0,0,0,0,0,0,0,0,0,129,18,483,55,274,85,164,91,156,85,104,117,101,133,115,128,151,201,276,307,190,311,107,248,120,310,81,343,31,246,16,265,35,244,8,178,20171003
서대문09,201709,112900007,13503,풍진베이스타운.안산자락길입구,0,0,0,0,0,0,0,0,0,0,29,4,24,2,1,0,10,2,4,14,30,49,22,54,31,85,38,106,67,155,36,140,7,58,4,32,19,88,12,91,8,36,4,54,1,36,1,17,20171003
서대문09,201709,112900001,13514,한양슈퍼,0,0,0,0,0,0,0,0,0,0,2,0,124,0,102,2,151,8,116,1,130,1,130,1,107,0,111,3,96,2,53,1,77,0,84,2,70,0,61,0,38,1,47,0,8,0,4,0,20171003
서대문09,201709,112900107,13527,알뜰슈퍼,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15,1,9,11,7,1,10,1,7,1,13,3,8,0,13,2,11,1,9,1,8,1,17,1,10,3,15,1,2,1,0,0,0,0,20171003
