금천06,117900004,12,300,1380
5617,100100274,8,240,1380
333,100100496,12,240,1380
1166,100100173,25,245,1380
271,100100047,8,240,1320
2311,100100599,12,240,1380
4419,100100454,8,240,1380
6512,100100292,10,180,1320
구로07,116900006,12,305,1388
강남06,122900005,8,300,1380
영등포02,118900004,12,360,1380
2114,100100193,11,300,1380
강서04,115900001,12,304,1385
은평01,111900002,8,300,0
1131,100100147,14,300,1380
6649,114000001,13,300,1380
103,100100008,7,240,1380
마포14,113900006,17,300,1380
광진05,104900004,7,360,1380
서초05,119900003,12,360,1380
302,100100052,5,240,1325
금천09,117900009,18,360,1380
6635,100100311,8,240,1380
7024,100100342,16,300,1380
서초10,121900003,11,360,1380
1141,100100156,16,300,1380
148,100100027,7,240,1380
171,100100036,8,240,1380
금천07,117900007,20,300,1320
7719,124000008,25,240,1380
N61,100100589,25,1380,240
7025,100100446,12,240,1320
1165,100100172,7,240,1380
1128,100100144,7,240,1320
성북21,105900005,10,300,0
3411,100100223,8,240,1380
5413,100100249,7,240,1380
463,100100605,15,240,1325
360,100100057,4,240,1320
마포17,113900001,7,360,0
1140,100100155,20,300,0
영등포13,114900005,12,300,1385
서초09,121900007,8,300,1380
7017,100100337,6,240,1380
영등포04,118900001,7,360,1380
마포09,113900015,5,300,1385
노원15,109900010,6,300,1380
강남06-1,122900007,20,360,1380
종로09,100900003,10,360,1380
1154,100100164,14,240,1380
성북14-2,107900016,14,300,6
5713,100100287,11,240,1320
6616,100100298,13,240,1380
강북10,108900009,6,305,1380
용산01,102900003,15,360,1320
서대문06,112900007,9,360,1385
1137,100100152,9,240,1380
은평06,111900007,8,360,1380
506,100100081,9,240,1320
3314,100100220,8,240,1380
720,100100111,7,240,1380
성북09,107900006,6,300,0
440,100100459,8,185,1325
1129,100100145,18,300,1380
7739,100100552,12,300,1380
641,100100094,6,240,1320
영등포07,118900002,9,360,0
성동07,103900005,23,360,1320
441,100100070,10,240,1320
400,100100596,11,245,1325
5525,100100261,15,240,1380
도봉02,108900010,5,360,8
320,100100564,12,240,1380
1120,100100138,14,300,1380
1119,100100137,5,240,1385
1222,100100179,11,240,1380
704,100100107,12,240,1320
서초07,121900011,9,365,1380
강동05,124900001,9,300,1385
1224,100100181,7,240,1380
6632,100100309,7,240,1380
152,100100031,7,240,1320
2312,100100611,16,240,1320
강서03,115900004,12,300,1380
은평02,111900003,19,300,1380
노원04,110900001,20,300,0
2115,100100598,8,240,1320
5714,100100288,8,245,1320
3321,100100578,13,240,1380
강동01,124900002,7,306,1380
5531,100100265,6,240,1380
6638,100100313,18,240,1380
8541,100100383,13,240,240
6629,100100306,12,240,1320
7211,100100344,7,240,1380
관악06,120900004,5,360,1380
9711A,100100607,15,300,1380
강남02,122900006,5,305,1380
7022,100100341,9,240,1380
서초16,119900005,9,360,1380
성북12,107900004,7,300,0
7730,100100360,7,240,1380
동작09,119900019,8,300,1380
2227,100100202,18,240,1380
503,100100078,14,245,1320
영등포12,114900006,12,360,1380
753,100100118,14,240,1320
5519,100100255,13,360,1385
3011,100100438,8,240,1320
구로03,116900010,6,300,1380
강북06,108900007,5,300,1385
9401,100100389,4,240,1380
3322,100100613,8,240,1380
7612,100100346,6,240,1380
6640B,100100602,12,240,1380
102,100100007,10,240,1380
성북08,107900007,5,300,0
강북12,108900012,18,308,0
5536,100100268,7,240,1380
동작01,119900007,5,300,1380
2224,100100201,8,240,1380
6617,100100299,12,300,1380
7013B,100100448,10,244,1380
서초13,121900013,10,360,1380
금천11,117900010,18,305,1385
571,100100084,8,240,1320
성동02,103900004,9,300,0
3425,100100609,12,240,1320
5625,100100281,9,240,1320
영등포05,118900006,10,360,1385
1126,100100142,7,240,1380
N30,100100591,35,1380,180
마포12,113900003,8,360,0
2016,100100522,12,240,1325
7726,100100357,17,300,0
6625,100100303,14,240,1380
성북13,107900001,6,300,5
5621,100100278,6,300,1380
420,100100068,4,240,1380
3318,100100498,13,240,1380
1155,100100165,10,240,1380
금천02,117900006,18,300,1380
5537,100100269,12,240,1380
601,100100086,6,240,1380
동작16,119900017,10,300,1387
종로05,100900011,8,360,1380
마포07,113900010,16,360,1385
6642,100100316,11,240,1320
101,100100006,8,240,1380
2113,100100192,11,300,1380
542,100100603,30,240,1380
마포05,113900011,11,360,1380
9714,100100406,30,300,60
노원08,110900007,9,305,1389
6513,100100293,7,240,1320
N37,100100585,27,0,180
260,100100042,8,180,1320
9403,100100390,5,300,0
3316,100100222,12,240,1380
7013A,100100449,10,240,1388
2015,100100190,10,240,1380
02,100100001,11,420,1380
6645,100100318,11,240,1320
금천08,117900005,9,300,1380
710,100100110,8,180,1320
강서06,115900002,9,303,1383
은평10,111900010,12,360,1380
143,100100022,7,240,1320
1136,100100151,13,300,0
종로01,100900006,15,360,1380
강남08,122900008,10,360,1380
7737,100100363,10,305,1380
273,100100049,12,240,1320
성동03,103900006,8,360,1380
은평04,111900004,24,300,1380
3216,100100215,12,240,1320
은평08,111900008,10,360,1380
2013,100100188,10,240,1320
701,100100103,8,240,1380
6715,100100332,8,240,1380
강남01,122900003,6,360,1380
7722,100100353,15,240,1380
153,100100032,7,240,1320
7016,100100447,4,240,1320
761,111000014,12,240,1380
9701,100100397,12,300,1380
강북02,108900002,6,300,1385
9404,100100391,8,240,1380
470,100100073,9,240,1320
1124,100100139,10,300,0
3012,100100579,10,240,1320
7021,100100340,6,240,1380
중랑01,106900001,16,360,1388
342,124000038,12,240,1320
172,100100037,10,240,1380
동작03,119900020,5,360,1380
동작07,119900018,7,300,1380
중랑02,106900002,10,360,1385
성동05,101900001,10,305,1380
406,100100064,13,240,1380
7611,100100345,12,240,1320
관악01,120900005,5,300,1380
강서05,115900005,6,300,1385
종로06,100900001,25,360,1380
서대문10,112900001,12,300,1380
용산04,101900002,7,300,1385
동작11,119900011,10,360,1380
600,100100085,10,240,1380
구로01,116900013,8,300,1380
1132,100100148,8,240,1380
6515,100100521,9,240,1320
마포06,113900012,5,360,6
1133,100100149,10,300,1380
7613,100100347,13,240,1380
721,100100112,8,240,1320
602,100100087,8,240,1320
서초06,119900002,16,360,1380
강남03,122900004,15,360,1320
서초08,121900002,10,360,1380
144,100100023,6,240,1320
1162,100100170,9,300,1380
303,100100053,4,240,1320
350,100100553,7,240,1320
6631,100100308,7,240,1320
동작21,119900024,11,300,1385
151,100100030,7,240,1320
N16,100100592,27,0,180
강남05,122900002,7,300,1380
