,Geumcheon-gu,Guro-gu,Gwanak-gu,Seocho-gu,Dongjak-gu,Nowon-gu,Mapo-gu,Seodaemun-gu,Gangseo-gu,Yangcheon-gu,Yeongdeungpo-gu,Seongbuk-gu,Gangbuk-gu,Songpa-gu,Eunpyeong-gu,Gangnam-gu,Gangdong-gu,Jungnang-gu,Jongno-gu,Dongdaemun-gu,Gwangjin-gu,Seongdong-gu,Yongsan-gu,Jung-gu,Dobong-gu,
Geumcheon-gu,0,506,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guro-gu,663,0,0,0,0,0,0,0,0,391,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gwanak-gu,230,91,0,364,1061,0,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Seocho-gu,0,0,0,0,943,0,0,0,0,0,0,0,0,0,0,1656,0,0,0,0,0,0,186,0,0,
Dongjak-gu,0,0,1280,711,0,0,0,0,0,0,1718,0,0,0,0,0,0,0,0,0,0,0,494,0,0,
Nowon-gu,0,0,0,0,0,0,0,0,0,0,0,296,37,0,0,0,0,537,0,0,0,0,0,0,490,
Mapo-gu,0,0,0,0,0,0,0,1282,121,0,322,0,0,0,75,0,0,0,0,0,0,0,184,208,0,
Seodaemun-gu,0,0,0,0,0,0,1347,0,0,0,0,0,0,0,625,0,0,0,848,0,0,0,0,340,0,
Gangseo-gu,0,0,0,0,0,0,191,0,0,2384,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yangcheon-gu,0,588,0,0,0,0,0,0,1915,0,962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yeongdeungpo-gu,0,664,0,0,1652,0,535,0,271,205,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,
Seongbuk-gu,0,0,0,0,0,186,0,0,0,0,0,0,848,0,0,0,0,59,1203,1121,0,0,0,0,0,
Gangbuk-gu,0,0,0,0,0,35,0,0,0,0,0,1164,0,0,0,0,0,0,0,0,0,0,0,0,479,
Songpa-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754,356,0,0,0,447,0,0,0,0,
Eunpyeong-gu,0,0,0,0,0,0,90,1015,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,
Gangnam-gu,0,0,0,1136,0,0,0,0,0,0,0,0,0,669,0,0,0,0,0,0,241,342,271,0,0,
Gangdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,517,0,0,0,0,0,0,345,0,0,0,0,
Jungnang-gu,0,0,0,0,0,468,0,0,0,0,0,0,0,0,0,0,0,0,0,1322,396,0,0,0,0,
Jongno-gu,0,0,0,0,0,0,0,739,0,0,0,778,0,0,187,0,0,0,0,564,0,0,0,1117,0,
Dongdaemun-gu,0,0,0,0,0,0,0,0,0,0,0,980,0,0,0,0,0,790,916,0,25,2531,0,0,0,
Gwangjin-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,579,0,0,217,289,0,776,0,823,0,0,0,
Seongdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859,0,0,0,1742,1072,0,0,573,0,
Yongsan-gu,0,0,0,361,220,0,53,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,1322,0,
Jung-gu,0,0,0,0,0,0,83,184,0,0,0,0,0,0,0,0,0,0,1087,0,0,486,636,0,0,
Dobong-gu,0,0,0,0,0,558,0,0,0,0,0,0,740,0,0,0,0,0,0,0,0,0,0,0,0,
