,Geumcheon-gu,Guro-gu,Gwanak-gu,Seocho-gu,Dongjak-gu,Nowon-gu,Mapo-gu,Seodaemun-gu,Gangseo-gu,Yangcheon-gu,Yeongdeungpo-gu,Seongbuk-gu,Gangbuk-gu,Songpa-gu,Eunpyeong-gu,Gangnam-gu,Gangdong-gu,Jungnang-gu,Jongno-gu,Dongdaemun-gu,Gwangjin-gu,Seongdong-gu,Yongsan-gu,Jung-gu,Dobong-gu,
Geumcheon-gu,0,764,1433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guro-gu,742,0,0,0,0,0,0,0,0,461,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gwanak-gu,337,112,0,788,1515,0,0,0,0,0,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Seocho-gu,0,0,0,0,1231,0,0,0,0,0,0,0,0,0,0,2542,0,0,0,0,0,0,226,0,0,
Dongjak-gu,0,0,1848,952,0,0,0,0,0,0,2441,0,0,0,0,0,0,0,0,0,0,0,698,0,0,
Nowon-gu,0,0,0,0,0,0,0,0,0,0,0,325,55,0,0,0,0,630,0,0,0,0,0,0,536,
Mapo-gu,0,0,0,0,0,0,0,1672,160,0,433,0,0,0,90,0,0,0,0,0,0,0,211,301,0,
Seodaemun-gu,0,0,0,0,0,0,1657,0,0,0,0,0,0,0,922,0,0,0,1193,0,0,0,0,476,0,
Gangseo-gu,0,0,0,0,0,0,373,0,0,3267,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yangcheon-gu,0,747,0,0,0,0,0,0,2547,0,1252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yeongdeungpo-gu,0,783,0,0,2304,0,772,0,362,193,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,
Seongbuk-gu,0,0,0,0,0,184,0,0,0,0,0,0,1055,0,0,0,0,41,1610,1543,0,0,0,0,0,
Gangbuk-gu,0,0,0,0,0,57,0,0,0,0,0,1577,0,0,0,0,0,0,0,0,0,0,0,0,576,
Songpa-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1389,489,0,0,0,549,0,0,0,0,
Eunpyeong-gu,0,0,0,0,0,0,215,1478,0,0,0,0,0,0,0,0,0,0,426,0,0,0,0,0,0,
Gangnam-gu,0,0,0,1493,0,0,0,0,0,0,0,0,0,799,0,0,0,0,0,0,262,398,289,0,0,
Gangdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,735,0,0,0,0,0,0,390,0,0,0,0,
Jungnang-gu,0,0,0,0,0,601,0,0,0,0,0,0,0,0,0,0,0,0,0,1861,636,0,0,0,0,
Jongno-gu,0,0,0,0,0,0,0,787,0,0,0,808,0,0,235,0,0,0,0,569,0,0,0,1211,0,
Dongdaemun-gu,0,0,0,0,0,0,0,0,0,0,0,1103,0,0,0,0,0,926,1267,0,18,3467,0,0,0,
Gwangjin-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,960,0,0,273,431,0,1036,0,1364,0,0,0,
Seongdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1615,0,0,0,2325,1411,0,0,791,0,
Yongsan-gu,0,0,0,559,333,0,36,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,1687,0,
Jung-gu,0,0,0,0,0,0,102,234,0,0,0,0,0,0,0,0,0,0,1329,0,0,681,666,0,0,
Dobong-gu,0,0,0,0,0,727,0,0,0,0,0,0,984,0,0,0,0,0,0,0,0,0,0,0,0,
