,Geumcheon-gu,Guro-gu,Gwanak-gu,Seocho-gu,Dongjak-gu,Nowon-gu,Mapo-gu,Seodaemun-gu,Gangseo-gu,Yangcheon-gu,Yeongdeungpo-gu,Seongbuk-gu,Gangbuk-gu,Songpa-gu,Eunpyeong-gu,Gangnam-gu,Gangdong-gu,Jungnang-gu,Jongno-gu,Dongdaemun-gu,Gwangjin-gu,Seongdong-gu,Yongsan-gu,Jung-gu,Dobong-gu,
Geumcheon-gu,0,253,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guro-gu,1559,0,0,0,0,0,0,0,0,614,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gwanak-gu,432,37,0,316,984,0,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Seocho-gu,0,0,0,0,1606,0,0,0,0,0,0,0,0,0,0,1765,0,0,0,0,0,0,253,0,0,
Dongjak-gu,0,0,2105,523,0,0,0,0,0,0,2091,0,0,0,0,0,0,0,0,0,0,0,198,0,0,
Nowon-gu,0,0,0,0,0,0,0,0,0,0,0,373,0,0,0,0,0,348,0,0,0,0,0,0,666,
Mapo-gu,0,0,0,0,0,0,0,1105,255,0,934,0,0,0,64,0,0,0,0,0,0,0,199,169,0,
Seodaemun-gu,0,0,0,0,0,0,1479,0,0,0,0,0,0,0,1102,0,0,0,596,0,0,0,0,128,0,
Gangseo-gu,0,0,0,0,0,0,143,0,0,2809,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yangcheon-gu,0,363,0,0,0,0,0,0,2458,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yeongdeungpo-gu,0,1167,0,0,1710,0,310,0,1035,489,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,
Seongbuk-gu,0,0,0,0,0,318,0,0,0,0,0,0,1000,0,0,0,0,141,569,889,0,0,0,0,0,
Gangbuk-gu,0,0,0,0,0,48,0,0,0,0,0,707,0,0,0,0,0,0,0,0,0,0,0,0,836,
Songpa-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712,668,0,0,0,796,0,0,0,0,
Eunpyeong-gu,0,0,0,0,0,0,77,539,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,
Gangnam-gu,0,0,0,1840,0,0,0,0,0,0,0,0,0,1563,0,0,0,0,0,0,907,703,291,0,0,
Gangdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,470,0,0,0,0,0,0,337,0,0,0,0,
Jungnang-gu,0,0,0,0,0,679,0,0,0,0,0,0,0,0,0,0,0,0,0,502,303,0,0,0,0,
Jongno-gu,0,0,0,0,0,0,0,1337,0,0,0,1430,0,0,303,0,0,0,0,1356,0,0,0,1000,0,
Dongdaemun-gu,0,0,0,0,0,0,0,0,0,0,0,1454,0,0,0,0,0,1387,270,0,45,2533,0,0,0,
Gwangjin-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,417,0,0,389,719,0,764,0,917,0,0,0,
Seongdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,0,0,0,2115,1547,0,0,543,0,
Yongsan-gu,0,0,0,402,655,0,104,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,928,0,
Jung-gu,0,0,0,0,0,0,110,323,0,0,0,0,0,0,0,0,0,0,1776,0,0,706,1232,0,0,
Dobong-gu,0,0,0,0,0,467,0,0,0,0,0,0,374,0,0,0,0,0,0,0,0,0,0,0,0,
