,Geumcheon-gu,Guro-gu,Gwanak-gu,Seocho-gu,Dongjak-gu,Nowon-gu,Mapo-gu,Seodaemun-gu,Gangseo-gu,Yangcheon-gu,Yeongdeungpo-gu,Seongbuk-gu,Gangbuk-gu,Songpa-gu,Eunpyeong-gu,Gangnam-gu,Gangdong-gu,Jungnang-gu,Jongno-gu,Dongdaemun-gu,Gwangjin-gu,Seongdong-gu,Yongsan-gu,Jung-gu,Dobong-gu,
Geumcheon-gu,0,1062,1642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guro-gu,727,0,0,0,0,0,0,0,0,493,1106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gwanak-gu,236,170,0,714,1271,0,0,0,0,0,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Seocho-gu,0,0,0,0,1091,0,0,0,0,0,0,0,0,0,0,1990,0,0,0,0,0,0,124,0,0,
Dongjak-gu,0,0,1361,999,0,0,0,0,0,0,2178,0,0,0,0,0,0,0,0,0,0,0,708,0,0,
Nowon-gu,0,0,0,0,0,0,0,0,0,0,0,312,85,0,0,0,0,645,0,0,0,0,0,0,455,
Mapo-gu,0,0,0,0,0,0,0,1432,118,0,305,0,0,0,80,0,0,0,0,0,0,0,214,249,0,
Seodaemun-gu,0,0,0,0,0,0,1339,0,0,0,0,0,0,0,680,0,0,0,1063,0,0,0,0,386,0,
Gangseo-gu,0,0,0,0,0,0,353,0,0,3081,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yangcheon-gu,0,890,0,0,0,0,0,0,2710,0,1336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yeongdeungpo-gu,0,611,0,0,2348,0,778,0,196,106,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,
Seongbuk-gu,0,0,0,0,0,144,0,0,0,0,0,0,937,0,0,0,0,31,1747,1561,0,0,0,0,0,
Gangbuk-gu,0,0,0,0,0,21,0,0,0,0,0,1756,0,0,0,0,0,0,0,0,0,0,0,0,423,
Songpa-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1081,288,0,0,0,528,0,0,0,0,
Eunpyeong-gu,0,0,0,0,0,0,69,1053,0,0,0,0,0,0,0,0,0,0,299,0,0,0,0,0,0,
Gangnam-gu,0,0,0,1120,0,0,0,0,0,0,0,0,0,453,0,0,0,0,0,0,218,293,203,0,0,
Gangdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,727,0,0,0,0,0,0,407,0,0,0,0,
Jungnang-gu,0,0,0,0,0,340,0,0,0,0,0,0,0,0,0,0,0,0,0,2312,700,0,0,0,0,
Jongno-gu,0,0,0,0,0,0,0,700,0,0,0,590,0,0,102,0,0,0,0,313,0,0,0,1183,0,
Dongdaemun-gu,0,0,0,0,0,0,0,0,0,0,0,892,0,0,0,0,0,611,1016,0,20,3022,0,0,0,
Gwangjin-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,914,0,0,303,252,0,875,0,1289,0,0,0,
Seongdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1353,0,0,0,1680,1248,0,0,709,0,
Yongsan-gu,0,0,0,396,165,0,34,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,1271,0,
Jung-gu,0,0,0,0,0,0,79,166,0,0,0,0,0,0,0,0,0,0,801,0,0,500,644,0,0,
Dobong-gu,0,0,0,0,0,572,0,0,0,0,0,0,982,0,0,0,0,0,0,0,0,0,0,0,0,
