,Geumcheon-gu,Guro-gu,Gwanak-gu,Seocho-gu,Dongjak-gu,Nowon-gu,Mapo-gu,Seodaemun-gu,Gangseo-gu,Yangcheon-gu,Yeongdeungpo-gu,Seongbuk-gu,Gangbuk-gu,Songpa-gu,Eunpyeong-gu,Gangnam-gu,Gangdong-gu,Jungnang-gu,Jongno-gu,Dongdaemun-gu,Gwangjin-gu,Seongdong-gu,Yongsan-gu,Jung-gu,Dobong-gu,
Geumcheon-gu,0,417,656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guro-gu,1493,0,0,0,0,0,0,0,0,698,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gwanak-gu,480,48,0,399,1054,0,0,0,0,0,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Seocho-gu,0,0,0,0,1498,0,0,0,0,0,0,0,0,0,0,1746,0,0,0,0,0,0,233,0,0,
Dongjak-gu,0,0,2042,530,0,0,0,0,0,0,1920,0,0,0,0,0,0,0,0,0,0,0,272,0,0,
Nowon-gu,0,0,0,0,0,0,0,0,0,0,0,386,26,0,0,0,0,452,0,0,0,0,0,0,660,
Mapo-gu,0,0,0,0,0,0,0,1092,311,0,865,0,0,0,95,0,0,0,0,0,0,0,166,147,0,
Seodaemun-gu,0,0,0,0,0,0,1474,0,0,0,0,0,0,0,1107,0,0,0,551,0,0,0,0,128,0,
Gangseo-gu,0,0,0,0,0,0,163,0,0,2826,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yangcheon-gu,0,380,0,0,0,0,0,0,2612,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yeongdeungpo-gu,0,1156,0,0,1714,0,440,0,923,551,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,
Seongbuk-gu,0,0,0,0,0,301,0,0,0,0,0,0,1213,0,0,0,0,131,685,883,0,0,0,0,0,
Gangbuk-gu,0,0,0,0,0,35,0,0,0,0,0,854,0,0,0,0,0,0,0,0,0,0,0,0,880,
Songpa-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,601,0,0,0,832,0,0,0,0,
Eunpyeong-gu,0,0,0,0,0,0,80,669,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,
Gangnam-gu,0,0,0,1741,0,0,0,0,0,0,0,0,0,1410,0,0,0,0,0,0,886,708,349,0,0,
Gangdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,493,0,0,0,0,0,0,342,0,0,0,0,
Jungnang-gu,0,0,0,0,0,723,0,0,0,0,0,0,0,0,0,0,0,0,0,787,341,0,0,0,0,
Jongno-gu,0,0,0,0,0,0,0,1381,0,0,0,1477,0,0,319,0,0,0,0,1241,0,0,0,1116,0,
Dongdaemun-gu,0,0,0,0,0,0,0,0,0,0,0,1599,0,0,0,0,0,1483,360,0,48,2496,0,0,0,
Gwangjin-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,526,0,0,384,663,0,747,0,977,0,0,0,
Seongdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,0,0,0,2077,1566,0,0,545,0,
Yongsan-gu,0,0,0,408,694,0,91,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,961,0,
Jung-gu,0,0,0,0,0,0,116,371,0,0,0,0,0,0,0,0,0,0,1671,0,0,670,1302,0,0,
Dobong-gu,0,0,0,0,0,493,0,0,0,0,0,0,467,0,0,0,0,0,0,0,0,0,0,0,0,
