,Geumcheon-gu,Guro-gu,Gwanak-gu,Seocho-gu,Dongjak-gu,Nowon-gu,Mapo-gu,Seodaemun-gu,Gangseo-gu,Yangcheon-gu,Yeongdeungpo-gu,Seongbuk-gu,Gangbuk-gu,Songpa-gu,Eunpyeong-gu,Gangnam-gu,Gangdong-gu,Jungnang-gu,Jongno-gu,Dongdaemun-gu,Gwangjin-gu,Seongdong-gu,Yongsan-gu,Jung-gu,Dobong-gu,
Geumcheon-gu,0,538,909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guro-gu,459,0,0,0,0,0,0,0,0,293,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gwanak-gu,78,73,0,464,827,0,0,0,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Seocho-gu,0,0,0,0,771,0,0,0,0,0,0,0,0,0,0,942,0,0,0,0,0,0,25,0,0,
Dongjak-gu,0,0,661,467,0,0,0,0,0,0,1643,0,0,0,0,0,0,0,0,0,0,0,452,0,0,
Nowon-gu,0,0,0,0,0,0,0,0,0,0,0,192,43,0,0,0,0,388,0,0,0,0,0,0,249,
Mapo-gu,0,0,0,0,0,0,0,675,70,0,202,0,0,0,40,0,0,0,0,0,0,0,128,167,0,
Seodaemun-gu,0,0,0,0,0,0,716,0,0,0,0,0,0,0,322,0,0,0,463,0,0,0,0,288,0,
Gangseo-gu,0,0,0,0,0,0,148,0,0,1715,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yangcheon-gu,0,464,0,0,0,0,0,0,1440,0,644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yeongdeungpo-gu,0,378,0,0,1589,0,282,0,279,101,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,
Seongbuk-gu,0,0,0,0,0,54,0,0,0,0,0,0,557,0,0,0,0,29,1124,946,0,0,0,0,0,
Gangbuk-gu,0,0,0,0,0,4,0,0,0,0,0,1145,0,0,0,0,0,0,0,0,0,0,0,0,266,
Songpa-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586,214,0,0,0,239,0,0,0,0,
Eunpyeong-gu,0,0,0,0,0,0,35,558,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,
Gangnam-gu,0,0,0,908,0,0,0,0,0,0,0,0,0,330,0,0,0,0,0,0,124,212,107,0,0,
Gangdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,397,0,0,0,0,0,0,260,0,0,0,0,
Jungnang-gu,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,1187,440,0,0,0,0,
Jongno-gu,0,0,0,0,0,0,0,355,0,0,0,326,0,0,63,0,0,0,0,417,0,0,0,599,0,
Dongdaemun-gu,0,0,0,0,0,0,0,0,0,0,0,509,0,0,0,0,0,328,595,0,15,1834,0,0,0,
Gwangjin-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,471,0,0,214,171,0,424,0,929,0,0,0,
Seongdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1023,0,0,0,906,1000,0,0,380,0,
Yongsan-gu,0,0,0,254,116,0,12,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,641,0,
Jung-gu,0,0,0,0,0,0,42,76,0,0,0,0,0,0,0,0,0,0,445,0,0,380,320,0,0,
Dobong-gu,0,0,0,0,0,338,0,0,0,0,0,0,468,0,0,0,0,0,0,0,0,0,0,0,0,
