,Geumcheon-gu,Guro-gu,Gwanak-gu,Seocho-gu,Dongjak-gu,Nowon-gu,Mapo-gu,Seodaemun-gu,Gangseo-gu,Yangcheon-gu,Yeongdeungpo-gu,Seongbuk-gu,Gangbuk-gu,Songpa-gu,Eunpyeong-gu,Gangnam-gu,Gangdong-gu,Jungnang-gu,Jongno-gu,Dongdaemun-gu,Gwangjin-gu,Seongdong-gu,Yongsan-gu,Jung-gu,Dobong-gu,
Geumcheon-gu,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guro-gu,69,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gwanak-gu,0,0,0,201,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Seocho-gu,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,331,0,0,0,0,0,0,0,0,0,
Dongjak-gu,0,0,129,118,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,32,0,0,
Nowon-gu,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,59,
Mapo-gu,0,0,0,0,0,0,0,0,0,0,51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Seodaemun-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,16,0,0,0,0,0,0,
Gangseo-gu,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yangcheon-gu,0,6,0,0,0,0,0,0,73,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yeongdeungpo-gu,0,59,0,0,63,0,114,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Seongbuk-gu,0,0,0,0,0,37,0,0,0,0,0,0,55,0,0,0,0,0,20,11,0,0,0,0,0,
Gangbuk-gu,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,2,
Songpa-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,36,0,0,0,0,
Eunpyeong-gu,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gangnam-gu,0,0,0,75,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,92,0,22,0,0,
Gangdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,
Jungnang-gu,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jongno-gu,0,0,0,0,0,0,0,38,0,0,0,122,0,0,22,0,0,0,0,63,0,0,0,105,0,
Dongdaemun-gu,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,68,0,0,198,0,0,0,
Gwangjin-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,34,168,0,62,0,102,0,0,0,
Seongdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,208,0,0,0,0,
Yongsan-gu,0,0,0,15,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,
Jung-gu,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,125,0,0,0,123,0,0,
Dobong-gu,0,0,0,0,0,18,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,
