,Geumcheon-gu,Guro-gu,Gwanak-gu,Seocho-gu,Dongjak-gu,Nowon-gu,Mapo-gu,Seodaemun-gu,Gangseo-gu,Yangcheon-gu,Yeongdeungpo-gu,Seongbuk-gu,Gangbuk-gu,Songpa-gu,Eunpyeong-gu,Gangnam-gu,Gangdong-gu,Jungnang-gu,Jongno-gu,Dongdaemun-gu,Gwangjin-gu,Seongdong-gu,Yongsan-gu,Jung-gu,Dobong-gu,
Geumcheon-gu,0,114,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guro-gu,67,0,0,0,0,0,0,0,0,67,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gwanak-gu,0,161,0,197,81,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Seocho-gu,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,2,0,0,
Dongjak-gu,0,0,164,165,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,85,0,0,
Nowon-gu,0,0,0,0,0,0,0,0,0,0,0,127,31,0,0,0,0,213,0,0,0,0,0,0,110,
Mapo-gu,0,0,0,0,0,0,0,247,0,0,5,0,0,0,13,0,0,0,0,0,0,0,15,18,0,
Seodaemun-gu,0,0,0,0,0,0,160,0,0,0,0,0,0,0,66,0,0,0,140,0,0,0,0,23,0,
Gangseo-gu,0,0,0,0,0,0,11,0,0,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yangcheon-gu,0,163,0,0,0,0,0,0,275,0,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yeongdeungpo-gu,0,38,0,0,322,0,97,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Seongbuk-gu,0,0,0,0,0,20,0,0,0,0,0,0,203,0,0,0,0,0,353,410,0,0,0,0,0,
Gangbuk-gu,0,0,0,0,0,0,0,0,0,0,0,637,0,0,0,0,0,0,0,0,0,0,0,0,53,
Songpa-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,33,0,0,0,72,0,0,0,0,
Eunpyeong-gu,0,0,0,0,0,0,34,161,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,
Gangnam-gu,0,0,0,112,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,76,16,59,0,0,
Gangdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,103,0,0,0,0,
Jungnang-gu,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,366,141,0,0,0,0,
Jongno-gu,0,0,0,0,0,0,0,31,0,0,0,45,0,0,0,0,0,0,0,107,0,0,0,113,0,
Dongdaemun-gu,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,12,100,0,3,296,0,0,0,
Gwangjin-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,34,51,0,114,0,134,0,0,0,
Seongdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,68,79,0,0,66,0,
Yongsan-gu,0,0,0,27,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,
Jung-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,34,43,0,0,
Dobong-gu,0,0,0,0,0,48,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,
