,Geumcheon-gu,Guro-gu,Gwanak-gu,Seocho-gu,Dongjak-gu,Nowon-gu,Mapo-gu,Seodaemun-gu,Gangseo-gu,Yangcheon-gu,Yeongdeungpo-gu,Seongbuk-gu,Gangbuk-gu,Songpa-gu,Eunpyeong-gu,Gangnam-gu,Gangdong-gu,Jungnang-gu,Jongno-gu,Dongdaemun-gu,Gwangjin-gu,Seongdong-gu,Yongsan-gu,Jung-gu,Dobong-gu,
Geumcheon-gu,0,556,997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guro-gu,593,0,0,0,0,0,0,0,0,383,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gwanak-gu,248,89,0,556,1195,0,0,0,0,0,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Seocho-gu,0,0,0,0,985,0,0,0,0,0,0,0,0,0,0,2070,0,0,0,0,0,0,137,0,0,
Dongjak-gu,0,0,1458,782,0,0,0,0,0,0,1966,0,0,0,0,0,0,0,0,0,0,0,557,0,0,
Nowon-gu,0,0,0,0,0,0,0,0,0,0,0,300,40,0,0,0,0,525,0,0,0,0,0,0,498,
Mapo-gu,0,0,0,0,0,0,0,1417,80,0,336,0,0,0,70,0,0,0,0,0,0,0,183,243,0,
Seodaemun-gu,0,0,0,0,0,0,1374,0,0,0,0,0,0,0,706,0,0,0,950,0,0,0,0,414,0,
Gangseo-gu,0,0,0,0,0,0,224,0,0,2497,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yangcheon-gu,0,561,0,0,0,0,0,0,1889,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yeongdeungpo-gu,0,661,0,0,1908,0,676,0,252,144,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,
Seongbuk-gu,0,0,0,0,0,183,0,0,0,0,0,0,909,0,0,0,0,50,1400,1278,0,0,0,0,0,
Gangbuk-gu,0,0,0,0,0,51,0,0,0,0,0,1258,0,0,0,0,0,0,0,0,0,0,0,0,488,
Songpa-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963,383,0,0,0,471,0,0,0,0,
Eunpyeong-gu,0,0,0,0,0,0,142,1196,0,0,0,0,0,0,0,0,0,0,305,0,0,0,0,0,0,
Gangnam-gu,0,0,0,1167,0,0,0,0,0,0,0,0,0,721,0,0,0,0,0,0,231,340,263,0,0,
Gangdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,570,0,0,0,0,0,0,379,0,0,0,0,
Jungnang-gu,0,0,0,0,0,506,0,0,0,0,0,0,0,0,0,0,0,0,0,1478,456,0,0,0,0,
Jongno-gu,0,0,0,0,0,0,0,678,0,0,0,750,0,0,229,0,0,0,0,517,0,0,0,1153,0,
Dongdaemun-gu,0,0,0,0,0,0,0,0,0,0,0,982,0,0,0,0,0,812,1074,0,18,2775,0,0,0,
Gwangjin-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,765,0,0,233,304,0,865,0,918,0,0,0,
Seongdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1107,0,0,0,1949,1202,0,0,623,0,
Yongsan-gu,0,0,0,449,207,0,43,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,1404,0,
Jung-gu,0,0,0,0,0,0,83,184,0,0,0,0,0,0,0,0,0,0,1161,0,0,544,613,0,0,
Dobong-gu,0,0,0,0,0,580,0,0,0,0,0,0,786,0,0,0,0,0,0,0,0,0,0,0,0,
