,Geumcheon-gu,Guro-gu,Gwanak-gu,Seocho-gu,Dongjak-gu,Nowon-gu,Mapo-gu,Seodaemun-gu,Gangseo-gu,Yangcheon-gu,Yeongdeungpo-gu,Seongbuk-gu,Gangbuk-gu,Songpa-gu,Eunpyeong-gu,Gangnam-gu,Gangdong-gu,Jungnang-gu,Jongno-gu,Dongdaemun-gu,Gwangjin-gu,Seongdong-gu,Yongsan-gu,Jung-gu,Dobong-gu,
Geumcheon-gu,0,622,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guro-gu,1447,0,0,0,0,0,0,0,0,789,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gwanak-gu,427,68,0,365,1451,0,0,0,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Seocho-gu,0,0,0,0,1406,0,0,0,0,0,0,0,0,0,0,2105,0,0,0,0,0,0,247,0,0,
Dongjak-gu,0,0,2146,691,0,0,0,0,0,0,2256,0,0,0,0,0,0,0,0,0,0,0,438,0,0,
Nowon-gu,0,0,0,0,0,0,0,0,0,0,0,473,39,0,0,0,0,565,0,0,0,0,0,0,744,
Mapo-gu,0,0,0,0,0,0,0,1509,240,0,707,0,0,0,112,0,0,0,0,0,0,0,237,199,0,
Seodaemun-gu,0,0,0,0,0,0,1980,0,0,0,0,0,0,0,1275,0,0,0,846,0,0,0,0,192,0,
Gangseo-gu,0,0,0,0,0,0,169,0,0,3422,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yangcheon-gu,0,666,0,0,0,0,0,0,2925,0,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yeongdeungpo-gu,0,1225,0,0,2070,0,650,0,748,526,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,
Seongbuk-gu,0,0,0,0,0,319,0,0,0,0,0,0,1391,0,0,0,0,128,1075,1249,0,0,0,0,0,
Gangbuk-gu,0,0,0,0,0,47,0,0,0,0,0,1173,0,0,0,0,0,0,0,0,0,0,0,0,858,
Songpa-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,830,644,0,0,0,840,0,0,0,0,
Eunpyeong-gu,0,0,0,0,0,0,105,1034,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0,0,
Gangnam-gu,0,0,0,1768,0,0,0,0,0,0,0,0,0,1339,0,0,0,0,0,0,616,552,363,0,0,
Gangdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,620,0,0,0,0,0,0,377,0,0,0,0,
Jungnang-gu,0,0,0,0,0,725,0,0,0,0,0,0,0,0,0,0,0,0,0,1205,388,0,0,0,0,
Jongno-gu,0,0,0,0,0,0,0,1503,0,0,0,1473,0,0,399,0,0,0,0,1265,0,0,0,1553,0,
Dongdaemun-gu,0,0,0,0,0,0,0,0,0,0,0,1759,0,0,0,0,0,1582,594,0,48,3145,0,0,0,
Gwangjin-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,653,0,0,373,643,0,861,0,910,0,0,0,
Seongdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690,0,0,0,2277,1776,0,0,573,0,
Yongsan-gu,0,0,0,558,574,0,152,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,1291,0,
Jung-gu,0,0,0,0,0,0,178,393,0,0,0,0,0,0,0,0,0,0,1833,0,0,765,1409,0,0,
Dobong-gu,0,0,0,0,0,785,0,0,0,0,0,0,751,0,0,0,0,0,0,0,0,0,0,0,0,
