,Geumcheon-gu,Guro-gu,Gwanak-gu,Seocho-gu,Dongjak-gu,Nowon-gu,Mapo-gu,Seodaemun-gu,Gangseo-gu,Yangcheon-gu,Yeongdeungpo-gu,Seongbuk-gu,Gangbuk-gu,Songpa-gu,Eunpyeong-gu,Gangnam-gu,Gangdong-gu,Jungnang-gu,Jongno-gu,Dongdaemun-gu,Gwangjin-gu,Seongdong-gu,Yongsan-gu,Jung-gu,Dobong-gu,
Geumcheon-gu,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guro-gu,416,0,0,0,0,0,0,0,0,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gwanak-gu,151,0,0,227,41,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Seocho-gu,0,0,0,0,551,0,0,0,0,0,0,0,0,0,0,884,0,0,0,0,0,0,108,0,0,
Dongjak-gu,0,0,301,146,0,0,0,0,0,0,788,0,0,0,0,0,0,0,0,0,0,0,48,0,0,
Nowon-gu,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,86,
Mapo-gu,0,0,0,0,0,0,0,86,105,0,180,0,0,0,22,0,0,0,0,0,0,0,0,63,0,
Seodaemun-gu,0,0,0,0,0,0,224,0,0,0,0,0,0,0,406,0,0,0,59,0,0,0,0,0,0,
Gangseo-gu,0,0,0,0,0,0,0,0,0,794,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yangcheon-gu,0,24,0,0,0,0,0,0,595,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yeongdeungpo-gu,0,331,0,0,344,0,120,0,214,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Seongbuk-gu,0,0,0,0,0,83,0,0,0,0,0,0,311,0,0,0,0,0,132,84,0,0,0,0,0,
Gangbuk-gu,0,0,0,0,0,29,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,215,
Songpa-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,339,0,0,0,98,0,0,0,0,
Eunpyeong-gu,0,0,0,0,0,0,24,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gangnam-gu,0,0,0,614,0,0,0,0,0,0,0,0,0,656,0,0,0,0,0,0,293,153,19,0,0,
Gangdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,29,0,0,0,0,
Jungnang-gu,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,10,49,0,0,0,0,
Jongno-gu,0,0,0,0,0,0,0,198,0,0,0,427,0,0,150,0,0,0,0,262,0,0,0,156,0,
Dongdaemun-gu,0,0,0,0,0,0,0,0,0,0,0,407,0,0,0,0,0,386,109,0,0,229,0,0,0,
Gwangjin-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,119,297,0,47,0,469,0,0,0,
Seongdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,394,505,0,0,0,0,
Yongsan-gu,0,0,0,177,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,
Jung-gu,0,0,0,0,0,0,28,54,0,0,0,0,0,0,0,0,0,0,449,0,0,31,307,0,0,
Dobong-gu,0,0,0,0,0,71,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,
