,Geumcheon-gu,Guro-gu,Gwanak-gu,Seocho-gu,Dongjak-gu,Nowon-gu,Mapo-gu,Seodaemun-gu,Gangseo-gu,Yangcheon-gu,Yeongdeungpo-gu,Seongbuk-gu,Gangbuk-gu,Songpa-gu,Eunpyeong-gu,Gangnam-gu,Gangdong-gu,Jungnang-gu,Jongno-gu,Dongdaemun-gu,Gwangjin-gu,Seongdong-gu,Yongsan-gu,Jung-gu,Dobong-gu,
Geumcheon-gu,0,10,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guro-gu,1133,0,0,0,0,0,0,0,0,355,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gwanak-gu,376,4,0,242,465,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Seocho-gu,0,0,0,0,1070,0,0,0,0,0,0,0,0,0,0,1395,0,0,0,0,0,0,190,0,0,
Dongjak-gu,0,0,1123,287,0,0,0,0,0,0,1790,0,0,0,0,0,0,0,0,0,0,0,95,0,0,
Nowon-gu,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,230,0,0,0,0,0,0,260,
Mapo-gu,0,0,0,0,0,0,0,654,238,0,700,0,0,0,28,0,0,0,0,0,0,0,108,154,0,
Seodaemun-gu,0,0,0,0,0,0,829,0,0,0,0,0,0,0,802,0,0,0,339,0,0,0,0,130,0,
Gangseo-gu,0,0,0,0,0,0,100,0,0,2091,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yangcheon-gu,0,130,0,0,0,0,0,0,1845,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yeongdeungpo-gu,0,900,0,0,1001,0,146,0,916,426,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,
Seongbuk-gu,0,0,0,0,0,243,0,0,0,0,0,0,765,0,0,0,0,106,323,460,0,0,0,0,0,
Gangbuk-gu,0,0,0,0,0,41,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,599,
Songpa-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,573,0,0,0,287,0,0,0,0,
Eunpyeong-gu,0,0,0,0,0,0,41,256,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,
Gangnam-gu,0,0,0,1264,0,0,0,0,0,0,0,0,0,1276,0,0,0,0,0,0,644,395,208,0,0,
Gangdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0,165,0,0,0,0,
Jungnang-gu,0,0,0,0,0,592,0,0,0,0,0,0,0,0,0,0,0,0,0,207,414,0,0,0,0,
Jongno-gu,0,0,0,0,0,0,0,621,0,0,0,1076,0,0,263,0,0,0,0,1125,0,0,0,474,0,
Dongdaemun-gu,0,0,0,0,0,0,0,0,0,0,0,1210,0,0,0,0,0,1153,214,0,16,1304,0,0,0,
Gwangjin-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0,292,661,0,351,0,927,0,0,0,
Seongdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,0,0,0,1403,1098,0,0,236,0,
Yongsan-gu,0,0,0,215,553,0,51,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,586,0,
Jung-gu,0,0,0,0,0,0,67,267,0,0,0,0,0,0,0,0,0,0,1344,0,0,510,664,0,0,
Dobong-gu,0,0,0,0,0,272,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,
