,Geumcheon-gu,Guro-gu,Gwanak-gu,Seocho-gu,Dongjak-gu,Nowon-gu,Mapo-gu,Seodaemun-gu,Gangseo-gu,Yangcheon-gu,Yeongdeungpo-gu,Seongbuk-gu,Gangbuk-gu,Songpa-gu,Eunpyeong-gu,Gangnam-gu,Gangdong-gu,Jungnang-gu,Jongno-gu,Dongdaemun-gu,Gwangjin-gu,Seongdong-gu,Yongsan-gu,Jung-gu,Dobong-gu,
Geumcheon-gu,0,413,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guro-gu,175,0,0,0,0,0,0,0,0,200,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gwanak-gu,36,110,0,610,382,0,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Seocho-gu,0,0,0,0,425,0,0,0,0,0,0,0,0,0,0,642,0,0,0,0,0,0,4,0,0,
Dongjak-gu,0,0,503,424,0,0,0,0,0,0,584,0,0,0,0,0,0,0,0,0,0,0,287,0,0,
Nowon-gu,0,0,0,0,0,0,0,0,0,0,0,137,32,0,0,0,0,339,0,0,0,0,0,0,180,
Mapo-gu,0,0,0,0,0,0,0,451,19,0,87,0,0,0,23,0,0,0,0,0,0,0,91,54,0,
Seodaemun-gu,0,0,0,0,0,0,500,0,0,0,0,0,0,0,118,0,0,0,280,0,0,0,0,169,0,
Gangseo-gu,0,0,0,0,0,0,104,0,0,834,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yangcheon-gu,0,258,0,0,0,0,0,0,668,0,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yeongdeungpo-gu,0,201,0,0,1041,0,201,0,69,99,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,
Seongbuk-gu,0,0,0,0,0,82,0,0,0,0,0,0,383,0,0,0,0,13,760,783,0,0,0,0,0,
Gangbuk-gu,0,0,0,0,0,0,0,0,0,0,0,1059,0,0,0,0,0,0,0,0,0,0,0,0,217,
Songpa-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,105,0,0,0,182,0,0,0,0,
Eunpyeong-gu,0,0,0,0,0,0,32,360,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,
Gangnam-gu,0,0,0,664,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,165,122,107,0,0,
Gangdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,127,0,0,0,0,
Jungnang-gu,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,751,413,0,0,0,0,
Jongno-gu,0,0,0,0,0,0,0,290,0,0,0,261,0,0,7,0,0,0,0,377,0,0,0,470,0,
Dongdaemun-gu,0,0,0,0,0,0,0,0,0,0,0,410,0,0,0,0,0,216,477,0,9,1499,0,0,0,
Gwangjin-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,108,72,0,301,0,740,0,0,0,
Seongdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,830,0,0,0,595,651,0,0,400,0,
Yongsan-gu,0,0,0,87,29,0,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,405,0,
Jung-gu,0,0,0,0,0,0,67,74,0,0,0,0,0,0,0,0,0,0,430,0,0,351,189,0,0,
Dobong-gu,0,0,0,0,0,203,0,0,0,0,0,0,367,0,0,0,0,0,0,0,0,0,0,0,0,
