,Geumcheon-gu,Guro-gu,Gwanak-gu,Seocho-gu,Dongjak-gu,Nowon-gu,Mapo-gu,Seodaemun-gu,Gangseo-gu,Yangcheon-gu,Yeongdeungpo-gu,Seongbuk-gu,Gangbuk-gu,Songpa-gu,Eunpyeong-gu,Gangnam-gu,Gangdong-gu,Jungnang-gu,Jongno-gu,Dongdaemun-gu,Gwangjin-gu,Seongdong-gu,Yongsan-gu,Jung-gu,Dobong-gu,
Geumcheon-gu,0,400,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guro-gu,1640,0,0,0,0,0,0,0,0,705,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gwanak-gu,462,57,0,384,1116,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Seocho-gu,0,0,0,0,1409,0,0,0,0,0,0,0,0,0,0,1912,0,0,0,0,0,0,297,0,0,
Dongjak-gu,0,0,2028,602,0,0,0,0,0,0,2206,0,0,0,0,0,0,0,0,0,0,0,265,0,0,
Nowon-gu,0,0,0,0,0,0,0,0,0,0,0,389,27,0,0,0,0,405,0,0,0,0,0,0,617,
Mapo-gu,0,0,0,0,0,0,0,1139,310,0,714,0,0,0,90,0,0,0,0,0,0,0,152,163,0,
Seodaemun-gu,0,0,0,0,0,0,1522,0,0,0,0,0,0,0,1195,0,0,0,596,0,0,0,0,156,0,
Gangseo-gu,0,0,0,0,0,0,163,0,0,3093,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yangcheon-gu,0,464,0,0,0,0,0,0,2658,0,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yeongdeungpo-gu,0,1235,0,0,1977,0,434,0,925,520,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,
Seongbuk-gu,0,0,0,0,0,338,0,0,0,0,0,0,1375,0,0,0,0,137,656,931,0,0,0,0,0,
Gangbuk-gu,0,0,0,0,0,50,0,0,0,0,0,946,0,0,0,0,0,0,0,0,0,0,0,0,961,
Songpa-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688,665,0,0,0,853,0,0,0,0,
Eunpyeong-gu,0,0,0,0,0,0,82,704,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,
Gangnam-gu,0,0,0,1797,0,0,0,0,0,0,0,0,0,1567,0,0,0,0,0,0,853,700,313,0,0,
Gangdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,476,0,0,0,0,0,0,357,0,0,0,0,
Jungnang-gu,0,0,0,0,0,692,0,0,0,0,0,0,0,0,0,0,0,0,0,826,382,0,0,0,0,
Jongno-gu,0,0,0,0,0,0,0,1346,0,0,0,1432,0,0,345,0,0,0,0,1262,0,0,0,1159,0,
Dongdaemun-gu,0,0,0,0,0,0,0,0,0,0,0,1693,0,0,0,0,0,1519,464,0,46,2792,0,0,0,
Gwangjin-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,552,0,0,420,738,0,784,0,975,0,0,0,
Seongdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632,0,0,0,2250,1732,0,0,570,0,
Yongsan-gu,0,0,0,486,672,0,81,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,997,0,
Jung-gu,0,0,0,0,0,0,130,413,0,0,0,0,0,0,0,0,0,0,1784,0,0,675,1402,0,0,
Dobong-gu,0,0,0,0,0,548,0,0,0,0,0,0,498,0,0,0,0,0,0,0,0,0,0,0,0,
