,Geumcheon-gu,Guro-gu,Gwanak-gu,Seocho-gu,Dongjak-gu,Nowon-gu,Mapo-gu,Seodaemun-gu,Gangseo-gu,Yangcheon-gu,Yeongdeungpo-gu,Seongbuk-gu,Gangbuk-gu,Songpa-gu,Eunpyeong-gu,Gangnam-gu,Gangdong-gu,Jungnang-gu,Jongno-gu,Dongdaemun-gu,Gwangjin-gu,Seongdong-gu,Yongsan-gu,Jung-gu,Dobong-gu,
Geumcheon-gu,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guro-gu,9,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gwanak-gu,0,0,0,188,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Seocho-gu,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,
Dongjak-gu,0,0,118,55,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nowon-gu,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,22,0,0,0,0,0,0,21,
Mapo-gu,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Seodaemun-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,15,0,
Gangseo-gu,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yangcheon-gu,0,3,0,0,0,0,0,0,8,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yeongdeungpo-gu,0,30,0,0,27,0,108,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Seongbuk-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,0,0,0,0,0,
Gangbuk-gu,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,
Songpa-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,
Eunpyeong-gu,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gangnam-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,23,0,30,0,0,
Gangdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,
Jungnang-gu,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,
Jongno-gu,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,42,0,
Dongdaemun-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,106,0,0,0,
Gwangjin-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,11,24,0,22,0,11,0,0,0,
Seongdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,43,84,0,0,0,0,
Yongsan-gu,0,0,0,14,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,
Jung-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,57,0,0,
Dobong-gu,0,0,0,0,0,10,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,
