,Geumcheon-gu,Guro-gu,Gwanak-gu,Seocho-gu,Dongjak-gu,Nowon-gu,Mapo-gu,Seodaemun-gu,Gangseo-gu,Yangcheon-gu,Yeongdeungpo-gu,Seongbuk-gu,Gangbuk-gu,Songpa-gu,Eunpyeong-gu,Gangnam-gu,Gangdong-gu,Jungnang-gu,Jongno-gu,Dongdaemun-gu,Gwangjin-gu,Seongdong-gu,Yongsan-gu,Jung-gu,Dobong-gu,
Geumcheon-gu,0,539,1059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guro-gu,1962,0,0,0,0,0,0,0,0,786,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gwanak-gu,549,59,0,419,1527,0,0,0,0,0,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Seocho-gu,0,0,0,0,1709,0,0,0,0,0,0,0,0,0,0,2355,0,0,0,0,0,0,269,0,0,
Dongjak-gu,0,0,2556,723,0,0,0,0,0,0,2786,0,0,0,0,0,0,0,0,0,0,0,375,0,0,
Nowon-gu,0,0,0,0,0,0,0,0,0,0,0,497,25,0,0,0,0,462,0,0,0,0,0,0,738,
Mapo-gu,0,0,0,0,0,0,0,1521,392,0,909,0,0,0,127,0,0,0,0,0,0,0,264,190,0,
Seodaemun-gu,0,0,0,0,0,0,1912,0,0,0,0,0,0,0,1349,0,0,0,745,0,0,0,0,224,0,
Gangseo-gu,0,0,0,0,0,0,234,0,0,3672,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yangcheon-gu,0,595,0,0,0,0,0,0,3263,0,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yeongdeungpo-gu,0,1491,0,0,2547,0,652,0,1021,663,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,
Seongbuk-gu,0,0,0,0,0,401,0,0,0,0,0,0,1554,0,0,0,0,185,799,1252,0,0,0,0,0,
Gangbuk-gu,0,0,0,0,0,59,0,0,0,0,0,1048,0,0,0,0,0,0,0,0,0,0,0,0,1068,
Songpa-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,869,760,0,0,0,1032,0,0,0,0,
Eunpyeong-gu,0,0,0,0,0,0,98,1014,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,
Gangnam-gu,0,0,0,2244,0,0,0,0,0,0,0,0,0,1799,0,0,0,0,0,0,833,738,387,0,0,
Gangdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,593,0,0,0,0,0,0,396,0,0,0,0,
Jungnang-gu,0,0,0,0,0,903,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,479,0,0,0,0,
Jongno-gu,0,0,0,0,0,0,0,1610,0,0,0,1647,0,0,405,0,0,0,0,1524,0,0,0,1539,0,
Dongdaemun-gu,0,0,0,0,0,0,0,0,0,0,0,2063,0,0,0,0,0,1979,666,0,76,3443,0,0,0,
Gwangjin-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,723,0,0,489,796,0,940,0,1084,0,0,0,
Seongdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734,0,0,0,2766,2100,0,0,742,0,
Yongsan-gu,0,0,0,596,729,0,151,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,1288,0,
Jung-gu,0,0,0,0,0,0,176,558,0,0,0,0,0,0,0,0,0,0,2211,0,0,858,1633,0,0,
Dobong-gu,0,0,0,0,0,727,0,0,0,0,0,0,605,0,0,0,0,0,0,0,0,0,0,0,0,
