,Geumcheon-gu,Guro-gu,Gwanak-gu,Seocho-gu,Dongjak-gu,Nowon-gu,Mapo-gu,Seodaemun-gu,Gangseo-gu,Yangcheon-gu,Yeongdeungpo-gu,Seongbuk-gu,Gangbuk-gu,Songpa-gu,Eunpyeong-gu,Gangnam-gu,Gangdong-gu,Jungnang-gu,Jongno-gu,Dongdaemun-gu,Gwangjin-gu,Seongdong-gu,Yongsan-gu,Jung-gu,Dobong-gu,
Geumcheon-gu,0,729,1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guro-gu,1802,0,0,0,0,0,0,0,0,879,817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gwanak-gu,493,63,0,416,1628,0,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Seocho-gu,0,0,0,0,1673,0,0,0,0,0,0,0,0,0,0,2398,0,0,0,0,0,0,278,0,0,
Dongjak-gu,0,0,2642,762,0,0,0,0,0,0,2613,0,0,0,0,0,0,0,0,0,0,0,423,0,0,
Nowon-gu,0,0,0,0,0,0,0,0,0,0,0,515,45,0,0,0,0,602,0,0,0,0,0,0,781,
Mapo-gu,0,0,0,0,0,0,0,1710,275,0,820,0,0,0,165,0,0,0,0,0,0,0,260,220,0,
Seodaemun-gu,0,0,0,0,0,0,2013,0,0,0,0,0,0,0,1418,0,0,0,928,0,0,0,0,270,0,
Gangseo-gu,0,0,0,0,0,0,217,0,0,3717,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yangcheon-gu,0,702,0,0,0,0,0,0,3319,0,991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yeongdeungpo-gu,0,1427,0,0,2536,0,853,0,905,614,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,
Seongbuk-gu,0,0,0,0,0,361,0,0,0,0,0,0,1550,0,0,0,0,157,1001,1259,0,0,0,0,0,
Gangbuk-gu,0,0,0,0,0,52,0,0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,1017,
Songpa-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864,704,0,0,0,1064,0,0,0,0,
Eunpyeong-gu,0,0,0,0,0,0,97,1128,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,
Gangnam-gu,0,0,0,2049,0,0,0,0,0,0,0,0,0,1551,0,0,0,0,0,0,800,721,471,0,0,
Gangdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,725,0,0,0,0,0,0,400,0,0,0,0,
Jungnang-gu,0,0,0,0,0,836,0,0,0,0,0,0,0,0,0,0,0,0,0,1194,416,0,0,0,0,
Jongno-gu,0,0,0,0,0,0,0,1770,0,0,0,1686,0,0,461,0,0,0,0,1452,0,0,0,1733,0,
Dongdaemun-gu,0,0,0,0,0,0,0,0,0,0,0,1909,0,0,0,0,0,1836,720,0,73,3699,0,0,0,
Gwangjin-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,738,0,0,435,741,0,987,0,942,0,0,0,
Seongdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661,0,0,0,2715,2096,0,0,704,0,
Yongsan-gu,0,0,0,685,688,0,160,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,1315,0,
Jung-gu,0,0,0,0,0,0,207,518,0,0,0,0,0,0,0,0,0,0,2129,0,0,768,1744,0,0,
Dobong-gu,0,0,0,0,0,781,0,0,0,0,0,0,742,0,0,0,0,0,0,0,0,0,0,0,0,
