,Geumcheon-gu,Guro-gu,Gwanak-gu,Seocho-gu,Dongjak-gu,Nowon-gu,Mapo-gu,Seodaemun-gu,Gangseo-gu,Yangcheon-gu,Yeongdeungpo-gu,Seongbuk-gu,Gangbuk-gu,Songpa-gu,Eunpyeong-gu,Gangnam-gu,Gangdong-gu,Jungnang-gu,Jongno-gu,Dongdaemun-gu,Gwangjin-gu,Seongdong-gu,Yongsan-gu,Jung-gu,Dobong-gu,
Geumcheon-gu,0,524,853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guro-gu,729,0,0,0,0,0,0,0,0,412,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gwanak-gu,227,75,0,392,1168,0,0,0,0,0,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Seocho-gu,0,0,0,0,1043,0,0,0,0,0,0,0,0,0,0,1606,0,0,0,0,0,0,178,0,0,
Dongjak-gu,0,0,1365,682,0,0,0,0,0,0,1817,0,0,0,0,0,0,0,0,0,0,0,573,0,0,
Nowon-gu,0,0,0,0,0,0,0,0,0,0,0,328,32,0,0,0,0,531,0,0,0,0,0,0,527,
Mapo-gu,0,0,0,0,0,0,0,1370,119,0,344,0,0,0,81,0,0,0,0,0,0,0,201,222,0,
Seodaemun-gu,0,0,0,0,0,0,1440,0,0,0,0,0,0,0,704,0,0,0,897,0,0,0,0,319,0,
Gangseo-gu,0,0,0,0,0,0,196,0,0,2518,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yangcheon-gu,0,565,0,0,0,0,0,0,1969,0,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yeongdeungpo-gu,0,768,0,0,1691,0,636,0,327,223,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,
Seongbuk-gu,0,0,0,0,0,177,0,0,0,0,0,0,921,0,0,0,0,71,1192,1143,0,0,0,0,0,
Gangbuk-gu,0,0,0,0,0,34,0,0,0,0,0,1148,0,0,0,0,0,0,0,0,0,0,0,0,528,
Songpa-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764,374,0,0,0,507,0,0,0,0,
Eunpyeong-gu,0,0,0,0,0,0,79,970,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,
Gangnam-gu,0,0,0,1234,0,0,0,0,0,0,0,0,0,747,0,0,0,0,0,0,264,344,269,0,0,
Gangdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0,0,333,0,0,0,0,
Jungnang-gu,0,0,0,0,0,505,0,0,0,0,0,0,0,0,0,0,0,0,0,1343,381,0,0,0,0,
Jongno-gu,0,0,0,0,0,0,0,822,0,0,0,848,0,0,202,0,0,0,0,721,0,0,0,1188,0,
Dongdaemun-gu,0,0,0,0,0,0,0,0,0,0,0,1071,0,0,0,0,0,854,923,0,29,2562,0,0,0,
Gwangjin-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,558,0,0,230,315,0,774,0,805,0,0,0,
Seongdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815,0,0,0,1739,1158,0,0,584,0,
Yongsan-gu,0,0,0,377,272,0,69,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,1387,0,
Jung-gu,0,0,0,0,0,0,96,223,0,0,0,0,0,0,0,0,0,0,1212,0,0,546,734,0,0,
Dobong-gu,0,0,0,0,0,555,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,
