,Geumcheon-gu,Guro-gu,Gwanak-gu,Seocho-gu,Dongjak-gu,Nowon-gu,Mapo-gu,Seodaemun-gu,Gangseo-gu,Yangcheon-gu,Yeongdeungpo-gu,Seongbuk-gu,Gangbuk-gu,Songpa-gu,Eunpyeong-gu,Gangnam-gu,Gangdong-gu,Jungnang-gu,Jongno-gu,Dongdaemun-gu,Gwangjin-gu,Seongdong-gu,Yongsan-gu,Jung-gu,Dobong-gu,
Geumcheon-gu,0,1104,1871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guro-gu,1042,0,0,0,0,0,0,0,0,744,1094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gwanak-gu,351,192,0,1051,1941,0,0,0,0,0,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Seocho-gu,0,0,0,0,1502,0,0,0,0,0,0,0,0,0,0,2796,0,0,0,0,0,0,215,0,0,
Dongjak-gu,0,0,2255,1183,0,0,0,0,0,0,2921,0,0,0,0,0,0,0,0,0,0,0,766,0,0,
Nowon-gu,0,0,0,0,0,0,0,0,0,0,0,381,90,0,0,0,0,685,0,0,0,0,0,0,668,
Mapo-gu,0,0,0,0,0,0,0,1874,180,0,457,0,0,0,80,0,0,0,0,0,0,0,358,357,0,
Seodaemun-gu,0,0,0,0,0,0,1790,0,0,0,0,0,0,0,971,0,0,0,1459,0,0,0,0,554,0,
Gangseo-gu,0,0,0,0,0,0,568,0,0,3914,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yangcheon-gu,0,984,0,0,0,0,0,0,3146,0,1428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yeongdeungpo-gu,0,900,0,0,2851,0,877,0,442,173,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,
Seongbuk-gu,0,0,0,0,0,212,0,0,0,0,0,0,1147,0,0,0,0,73,1926,1818,0,0,0,0,0,
Gangbuk-gu,0,0,0,0,0,51,0,0,0,0,0,1935,0,0,0,0,0,0,0,0,0,0,0,0,527,
Songpa-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1723,459,0,0,0,631,0,0,0,0,
Eunpyeong-gu,0,0,0,0,0,0,132,1483,0,0,0,0,0,0,0,0,0,0,364,0,0,0,0,0,0,
Gangnam-gu,0,0,0,1657,0,0,0,0,0,0,0,0,0,804,0,0,0,0,0,0,284,384,318,0,0,
Gangdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,874,0,0,0,0,0,0,437,0,0,0,0,
Jungnang-gu,0,0,0,0,0,587,0,0,0,0,0,0,0,0,0,0,0,0,0,2636,676,0,0,0,0,
Jongno-gu,0,0,0,0,0,0,0,873,0,0,0,869,0,0,193,0,0,0,0,478,0,0,0,1480,0,
Dongdaemun-gu,0,0,0,0,0,0,0,0,0,0,0,1103,0,0,0,0,0,889,1310,0,25,4294,0,0,0,
Gwangjin-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,0,0,333,399,0,1316,0,1522,0,0,0,
Seongdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1732,0,0,0,2645,1556,0,0,917,0,
Yongsan-gu,0,0,0,577,343,0,78,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,2219,0,
Jung-gu,0,0,0,0,0,0,119,247,0,0,0,0,0,0,0,0,0,0,1463,0,0,747,765,0,0,
Dobong-gu,0,0,0,0,0,737,0,0,0,0,0,0,1219,0,0,0,0,0,0,0,0,0,0,0,0,
