,Geumcheon-gu,Guro-gu,Gwanak-gu,Seocho-gu,Dongjak-gu,Nowon-gu,Mapo-gu,Seodaemun-gu,Gangseo-gu,Yangcheon-gu,Yeongdeungpo-gu,Seongbuk-gu,Gangbuk-gu,Songpa-gu,Eunpyeong-gu,Gangnam-gu,Gangdong-gu,Jungnang-gu,Jongno-gu,Dongdaemun-gu,Gwangjin-gu,Seongdong-gu,Yongsan-gu,Jung-gu,Dobong-gu,
Geumcheon-gu,0,490,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guro-gu,893,0,0,0,0,0,0,0,0,525,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gwanak-gu,277,78,0,385,1241,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Seocho-gu,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,1824,0,0,0,0,0,0,198,0,0,
Dongjak-gu,0,0,1517,683,0,0,0,0,0,0,2025,0,0,0,0,0,0,0,0,0,0,0,514,0,0,
Nowon-gu,0,0,0,0,0,0,0,0,0,0,0,359,27,0,0,0,0,526,0,0,0,0,0,0,582,
Mapo-gu,0,0,0,0,0,0,0,1478,139,0,429,0,0,0,83,0,0,0,0,0,0,0,213,238,0,
Seodaemun-gu,0,0,0,0,0,0,1660,0,0,0,0,0,0,0,869,0,0,0,848,0,0,0,0,273,0,
Gangseo-gu,0,0,0,0,0,0,171,0,0,2656,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yangcheon-gu,0,535,0,0,0,0,0,0,2081,0,870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yeongdeungpo-gu,0,877,0,0,1752,0,578,0,467,316,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,
Seongbuk-gu,0,0,0,0,0,242,0,0,0,0,0,0,1043,0,0,0,0,82,1065,1131,0,0,0,0,0,
Gangbuk-gu,0,0,0,0,0,35,0,0,0,0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,634,
Songpa-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776,468,0,0,0,521,0,0,0,0,
Eunpyeong-gu,0,0,0,0,0,0,90,921,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,
Gangnam-gu,0,0,0,1496,0,0,0,0,0,0,0,0,0,954,0,0,0,0,0,0,392,454,294,0,0,
Gangdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,530,0,0,0,0,0,0,299,0,0,0,0,
Jungnang-gu,0,0,0,0,0,580,0,0,0,0,0,0,0,0,0,0,0,0,0,1203,355,0,0,0,0,
Jongno-gu,0,0,0,0,0,0,0,979,0,0,0,1045,0,0,272,0,0,0,0,989,0,0,0,1401,0,
Dongdaemun-gu,0,0,0,0,0,0,0,0,0,0,0,1293,0,0,0,0,0,1048,828,0,31,2614,0,0,0,
Gwangjin-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,586,0,0,277,370,0,756,0,813,0,0,0,
Seongdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,773,0,0,0,1805,1333,0,0,616,0,
Yongsan-gu,0,0,0,469,365,0,96,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,1393,0,
Jung-gu,0,0,0,0,0,0,125,291,0,0,0,0,0,0,0,0,0,0,1524,0,0,640,1042,0,0,
Dobong-gu,0,0,0,0,0,611,0,0,0,0,0,0,691,0,0,0,0,0,0,0,0,0,0,0,0,
