,Geumcheon-gu,Guro-gu,Gwanak-gu,Seocho-gu,Dongjak-gu,Nowon-gu,Mapo-gu,Seodaemun-gu,Gangseo-gu,Yangcheon-gu,Yeongdeungpo-gu,Seongbuk-gu,Gangbuk-gu,Songpa-gu,Eunpyeong-gu,Gangnam-gu,Gangdong-gu,Jungnang-gu,Jongno-gu,Dongdaemun-gu,Gwangjin-gu,Seongdong-gu,Yongsan-gu,Jung-gu,Dobong-gu,
Geumcheon-gu,0,477,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guro-gu,1030,0,0,0,0,0,0,0,0,559,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gwanak-gu,280,64,0,358,1190,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Seocho-gu,0,0,0,0,1226,0,0,0,0,0,0,0,0,0,0,1793,0,0,0,0,0,0,224,0,0,
Dongjak-gu,0,0,1659,686,0,0,0,0,0,0,1959,0,0,0,0,0,0,0,0,0,0,0,474,0,0,
Nowon-gu,0,0,0,0,0,0,0,0,0,0,0,372,31,0,0,0,0,522,0,0,0,0,0,0,656,
Mapo-gu,0,0,0,0,0,0,0,1413,163,0,512,0,0,0,103,0,0,0,0,0,0,0,233,202,0,
Seodaemun-gu,0,0,0,0,0,0,1650,0,0,0,0,0,0,0,975,0,0,0,743,0,0,0,0,218,0,
Gangseo-gu,0,0,0,0,0,0,151,0,0,2705,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yangcheon-gu,0,537,0,0,0,0,0,0,2345,0,832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yeongdeungpo-gu,0,999,0,0,1703,0,543,0,511,398,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,
Seongbuk-gu,0,0,0,0,0,236,0,0,0,0,0,0,1109,0,0,0,0,77,990,1098,0,0,0,0,0,
Gangbuk-gu,0,0,0,0,0,36,0,0,0,0,0,1022,0,0,0,0,0,0,0,0,0,0,0,0,695,
Songpa-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710,479,0,0,0,591,0,0,0,0,
Eunpyeong-gu,0,0,0,0,0,0,94,894,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0,
Gangnam-gu,0,0,0,1513,0,0,0,0,0,0,0,0,0,1046,0,0,0,0,0,0,493,486,297,0,0,
Gangdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,531,0,0,0,0,0,0,284,0,0,0,0,
Jungnang-gu,0,0,0,0,0,552,0,0,0,0,0,0,0,0,0,0,0,0,0,1143,359,0,0,0,0,
Jongno-gu,0,0,0,0,0,0,0,1158,0,0,0,1132,0,0,300,0,0,0,0,1052,0,0,0,1346,0,
Dongdaemun-gu,0,0,0,0,0,0,0,0,0,0,0,1320,0,0,0,0,0,1197,738,0,39,2543,0,0,0,
Gwangjin-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,561,0,0,295,451,0,708,0,839,0,0,0,
Seongdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741,0,0,0,1769,1403,0,0,552,0,
Yongsan-gu,0,0,0,502,414,0,109,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,1271,0,
Jung-gu,0,0,0,0,0,0,139,300,0,0,0,0,0,0,0,0,0,0,1593,0,0,667,1137,0,0,
Dobong-gu,0,0,0,0,0,636,0,0,0,0,0,0,690,0,0,0,0,0,0,0,0,0,0,0,0,
