,Geumcheon-gu,Guro-gu,Gwanak-gu,Seocho-gu,Dongjak-gu,Nowon-gu,Mapo-gu,Seodaemun-gu,Gangseo-gu,Yangcheon-gu,Yeongdeungpo-gu,Seongbuk-gu,Gangbuk-gu,Songpa-gu,Eunpyeong-gu,Gangnam-gu,Gangdong-gu,Jungnang-gu,Jongno-gu,Dongdaemun-gu,Gwangjin-gu,Seongdong-gu,Yongsan-gu,Jung-gu,Dobong-gu,
Geumcheon-gu,0,537,877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guro-gu,843,0,0,0,0,0,0,0,0,439,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gwanak-gu,247,80,0,408,1235,0,0,0,0,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Seocho-gu,0,0,0,0,1096,0,0,0,0,0,0,0,0,0,0,1777,0,0,0,0,0,0,212,0,0,
Dongjak-gu,0,0,1486,720,0,0,0,0,0,0,1965,0,0,0,0,0,0,0,0,0,0,0,543,0,0,
Nowon-gu,0,0,0,0,0,0,0,0,0,0,0,329,36,0,0,0,0,526,0,0,0,0,0,0,592,
Mapo-gu,0,0,0,0,0,0,0,1473,135,0,409,0,0,0,83,0,0,0,0,0,0,0,243,215,0,
Seodaemun-gu,0,0,0,0,0,0,1612,0,0,0,0,0,0,0,786,0,0,0,868,0,0,0,0,298,0,
Gangseo-gu,0,0,0,0,0,0,202,0,0,2632,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yangcheon-gu,0,537,0,0,0,0,0,0,2130,0,998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yeongdeungpo-gu,0,850,0,0,1733,0,609,0,377,280,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,
Seongbuk-gu,0,0,0,0,0,204,0,0,0,0,0,0,985,0,0,0,0,75,1162,1192,0,0,0,0,0,
Gangbuk-gu,0,0,0,0,0,37,0,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,0,576,
Songpa-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808,422,0,0,0,509,0,0,0,0,
Eunpyeong-gu,0,0,0,0,0,0,90,1001,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,
Gangnam-gu,0,0,0,1405,0,0,0,0,0,0,0,0,0,881,0,0,0,0,0,0,323,413,301,0,0,
Gangdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,564,0,0,0,0,0,0,323,0,0,0,0,
Jungnang-gu,0,0,0,0,0,537,0,0,0,0,0,0,0,0,0,0,0,0,0,1354,381,0,0,0,0,
Jongno-gu,0,0,0,0,0,0,0,939,0,0,0,1006,0,0,252,0,0,0,0,830,0,0,0,1308,0,
Dongdaemun-gu,0,0,0,0,0,0,0,0,0,0,0,1140,0,0,0,0,0,1024,882,0,31,2655,0,0,0,
Gwangjin-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,574,0,0,262,334,0,785,0,838,0,0,0,
Seongdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843,0,0,0,1819,1265,0,0,612,0,
Yongsan-gu,0,0,0,438,287,0,97,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,1449,0,
Jung-gu,0,0,0,0,0,0,110,253,0,0,0,0,0,0,0,0,0,0,1394,0,0,590,923,0,0,
Dobong-gu,0,0,0,0,0,618,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,
